league,season,team,player,nation_,pos_,age_,Playing Time_Min,Playing Time_90s,primary_role,secondary_role,role_confidence,role_ambiguity,primary_role_similarity,secondary_role_similarity,finishing_index_role,chance_creation_index,ball_progression_index,passing_security_index,passing_volume_index,crossing_width_index,availability_index_role,discipline_risk_index,role_fit_explainability_score,role_explainability_quality,dominant_tactical_dimension,dominant_tactical_score,role_explanation_text
ENG-Premier League,1718,Arsenal,Petr Cech,CZE,GK,35.0,3039,33.8,,,,,,,50.4375,46.5625,71.33928571428571,63.276806949269634,73.25520833333333,50.0390625,72.03125,44.296875,,No role assigned,passing_volume_index,73.25520833333333,"Sin rol táctico asignado. La capa de índices está disponible, pero no se genera explicación de rol."
ENG-Premier League,1718,Arsenal,Pierre-Emerick Aubameyang,GAB,FW,28.0,1057,11.7,Box Finisher,Creator Forward,0.7,99.3,15.6,14.9,93.17250064849708,66.86899342438038,49.03533492304357,38.01842228804701,58.53566009104704,59.08573596358118,47.70864946889226,66.42640364188165,69.25004784725657,High,finishing_index_role,93.17250064849708,Rol explicado principalmente por: Finishing P93 · Chance Creation P67 · Availability P48
ENG-Premier League,1718,Arsenal,Reiss Nelson,ENG,"FW,MF",17.0,145,1.6,,,,,,,20.50011492706336,14.285714285714285,20.47399605003292,69.10568587519036,20.54531490015361,22.609447004608295,13.94009216589862,67.28110599078342,,No role assigned,passing_security_index,69.10568587519036,"Sin rol táctico asignado. La capa de índices está disponible, pero no se genera explicación de rol."
ENG-Premier League,1718,Arsenal,Rob Holding,ENG,DF,21.0,822,9.1,,,,,,,35.18850430998545,28.979977022813063,35.60877822325385,55.01686554057931,40.885032003938946,30.67762186115214,30.03692762186115,49.40915805022156,,No role assigned,passing_security_index,55.01686554057931,"Sin rol táctico asignado. La capa de índices está disponible, pero no se genera explicación de rol."
ENG-Premier League,1718,Arsenal,Sead Kolašinac,BIH,DF,24.0,2147,23.9,Aggressive Defender,Aerial Defender,3.2,96.8,59.6,56.4,67.30417682606235,90.02133595929756,82.02679890272209,49.50628896599681,73.57213195470213,62.92466765140325,69.21713441654359,49.40915805022156,66.91674076175416,High,chance_creation_index,90.02133595929756,Rol explicado principalmente por: Ball Progression P82 · Availability P69 · Passing Security P50
ENG-Premier League,1718,Arsenal,Shkodran Mustafi,GER,DF,25.0,2273,25.3,Aerial Defender,Ball-Playing Centre-Back,7.1,92.9,68.0,60.9,74.80860676216072,66.60512063023141,71.24393331926566,74.20863913974182,84.34884293451502,55.234490398818316,71.24815361890694,34.398079763663226,72.23357535930481,High,passing_volume_index,84.34884293451502,Rol explicado principalmente por: Passing Security P74 · Availability P71 · Ball Progression P71
ENG-Premier League,1718,Arsenal,Theo Walcott,ENG,"FW,MF",28.0,69,0.8,,,,,,,28.479262672811057,8.883768561187914,9.940750493745885,22.544094368889716,7.949308755760367,24.855990783410142,8.571428571428571,67.28110599078342,,No role assigned,discipline_risk_index,67.28110599078342,"Sin rol táctico asignado. La capa de índices está disponible, pero no se genera explicación de rol."
ENG-Premier League,1718,Bournemouth,Adam Smith,ENG,"DF,MF",26.0,2071,23.0,Ball Winner,Ball Winner,1.5,98.5,51.5,50.0,58.960607293940626,72.02380952380952,77.80612244897961,68.61226972540841,77.08333333333333,59.464285714285715,77.92857142857143,31.785714285714285,74.78232120098649,High,availability_index_role,77.92857142857143,Rol explicado principalmente por: Availability P78 · Ball Progression P78 · Passing Security P69
ENG-Premier League,1718,Bournemouth,Andrew Surman,ENG,MF,30.0,1856,20.6,Ball Winner,Creative Playmaker,33.2,66.8,70.8,37.5,69.800352865827,64.07081378393774,66.69768884752598,58.45015143168134,74.39377488237423,52.85016286644951,62.451193058568336,55.58568329718004,62.533011112591886,High,passing_volume_index,74.39377488237423,Rol explicado principalmente por: Ball Progression P67 · Availability P62 · Passing Security P58
ENG-Premier League,1718,Bournemouth,Asmir Begović,BIH,GK,30.0,3420,38.0,,,,,,,50.4375,56.302083333333336,51.294642857142854,60.22670152011602,73.22916666666667,50.0390625,93.78125,35.3125,,No role assigned,availability_index_role,93.78125,"Sin rol táctico asignado. La capa de índices está disponible, pero no se genera explicación de rol."
ENG-Premier League,1718,Bournemouth,Benik Afobe,COD,FW,24.0,611,6.8,,,,,,,31.332961070124586,27.87051087506323,37.21005853024063,36.096402619935695,36.19119878603945,37.38619119878604,37.92109256449165,66.42640364188165,,No role assigned,discipline_risk_index,66.42640364188165,"Sin rol táctico asignado. La capa de índices está disponible, pero no se genera explicación de rol."
ENG-Premier League,1718,Bournemouth,Callum Wilson,ENG,FW,25.0,1981,22.0,Box Finisher,Creator Forward,7.4,92.6,32.0,24.6,61.62112083636118,62.56954982296409,70.40971168437027,50.299118618228285,63.96054628224582,60.56525037936267,71.7298937784522,66.42640364188165,65.30685481259248,High,availability_index_role,71.7298937784522,Rol explicado principalmente por: Availability P72 · Chance Creation P63 · Finishing P62
ENG-Premier League,1718,Bournemouth,Charlie Daniels,ENG,"DF,MF",30.0,3002,33.4,Ball Winner,Attacking Progressor,5.1,94.9,64.2,59.2,54.84265734265734,72.61904761904762,97.5,56.12921445950642,97.6190476190476,82.58928571428571,95.85714285714286,71.78571428571428,83.16211910554976,High,passing_volume_index,97.6190476190476,Rol explicado principalmente por: Ball Progression P98 · Availability P96 · Passing Security P56
ENG-Premier League,1718,Bournemouth,Dan Gosling,ENG,MF,27.0,1947,21.6,Ball Winner,Attacking Progressor,12.9,87.1,28.7,15.8,65.07287324389891,50.67095346754306,68.51248642779588,40.11781810185358,67.68005790807094,40.86590662323562,65.69414316702819,32.456616052060745,58.108149232225884,High,ball_progression_index,68.51248642779588,Rol explicado principalmente por: Ball Progression P69 · Availability P66 · Passing Security P40
ENG-Premier League,1718,Bournemouth,Emerson Hyndman,USA,MF,21.0,58,0.6,,,,,,,32.136772463041055,15.781693092776534,7.507367767954087,52.39676422252236,12.984075280492219,24.55211726384365,11.930585683297178,70.7700650759219,,No role assigned,discipline_risk_index,70.7700650759219,"Sin rol táctico asignado. La capa de índices está disponible, pero no se genera explicación de rol."
ENG-Premier League,1718,Bournemouth,Harry Arter,IRL,MF,27.0,960,10.7,Ball Winner,Attacking Progressor,11.9,88.1,54.1,42.1,55.51322273220775,30.007965995051425,48.68155731347914,62.67970022921304,49.647122692725304,41.23235613463626,39.96746203904555,45.66160520607376,50.44290652724592,High,passing_security_index,62.67970022921304,Rol explicado principalmente por: Passing Security P63 · Ball Progression P49 · Availability P40
ENG-Premier League,1718,Bournemouth,Jack Simpson,ENG,DF,20.0,71,0.8,,,,,,,34.63810930576071,15.13211882488101,4.114792150242668,49.40940106146643,2.4864598719842443,30.67762186115214,5.768094534711965,73.07976366322009,,No role assigned,discipline_risk_index,73.07976366322009,"Sin rol táctico asignado. La capa de índices está disponible, pero no se genera explicación de rol."
ENG-Premier League,1718,Bournemouth,Jermain Defoe,ENG,FW,34.0,1088,12.1,Box Finisher,Creator Forward,7.2,92.8,26.8,19.6,59.952831130296886,50.07587253414264,39.06351615001084,50.17745688689519,36.709661102680826,41.5402124430956,52.06373292867981,52.010622154779966,54.03081219770644,High,finishing_index_role,59.952831130296886,Rol explicado principalmente por: Finishing P60 · Availability P52 · Chance Creation P50
ENG-Premier League,1718,Bournemouth,Jordon Ibe,ENG,"MF,FW",21.0,1995,22.2,Attacking Progressor,Attacking Progressor,0.7,99.3,29.8,29.1,30.42803241155443,73.78957169459963,76.93535514764564,49.731973639115914,71.76443202979517,84.63687150837988,73.88268156424581,56.703910614525135,74.16311962401348,High,crossing_width_index,84.63687150837988,Rol explicado principalmente por: Ball Progression P77 · Chance Creation P74 · Passing Volume P72
ENG-Premier League,1718,Bournemouth,Joshua King,NOR,"FW,MF",25.0,2453,27.3,Attacking Progressor,Creative Playmaker,21.6,78.4,74.0,52.4,64.88395169699622,74.3599590373784,85.86240947992098,51.038073311327956,76.84331797235023,49.53917050691245,85.99078341013823,37.84562211981567,79.02189549654987,High,availability_index_role,85.99078341013823,Rol explicado principalmente por: Ball Progression P86 · Passing Volume P77 · Chance Creation P74
ENG-Premier League,1718,Bournemouth,Junior Stanislas,ENG,"MF,FW",27.0,1286,14.3,Creative Playmaker,Attacking Progressor,8.2,91.8,36.0,27.8,69.53171173633206,58.90751086281812,60.93375897845171,32.00573984065508,54.864990689013034,75.9427374301676,50.67039106145252,56.703910614525135,50.615669893974975,High,crossing_width_index,75.9427374301676,Rol explicado principalmente por: Ball Progression P61 · Chance Creation P59 · Passing Security P32
ENG-Premier League,1718,Bournemouth,Lewis Cook,ENG,MF,20.0,2237,24.9,Ball Winner,Creative Playmaker,24.4,75.6,53.8,29.4,21.102033565228183,73.13328814413875,84.434620753839,49.020500150617444,76.0314875135722,80.25244299674267,73.22125813449023,41.75704989154013,68.89212634631555,High,ball_progression_index,84.434620753839,Rol explicado principalmente por: Ball Progression P84 · Availability P73 · Passing Security P49
ENG-Premier League,1718,Bournemouth,Lys Mousset,FRA,"FW,MF",21.0,596,6.6,,,,,,,52.597292081681054,32.52688172043011,37.87030941408822,26.375031933916812,31.739631336405534,28.744239631336406,38.54838709677419,52.93778801843318,,No role assigned,discipline_risk_index,52.93778801843318,"Sin rol táctico asignado. La capa de índices está disponible, pero no se genera explicación de rol."
ENG-Premier League,1718,Bournemouth,Marc Pugh,ENG,"MF,FW",30.0,985,10.9,Attacking Progressor,Attacking Progressor,16.9,83.1,78.5,61.7,20.614684316485025,32.4487895716946,55.28731045490822,42.65425166052845,53.584729981378025,47.90502793296089,42.290502793296085,47.41620111731844,47.10694333599361,High,ball_progression_index,55.28731045490822,Rol explicado principalmente por: Ball Progression P55 · Passing Volume P54 · Chance Creation P32
ENG-Premier League,1718,Bournemouth,Nathan Aké,NED,DF,22.0,3353,37.3,Aerial Defender,Ball-Playing Centre-Back,2.4,97.6,27.3,24.8,68.86848163727274,67.9057935335631,68.80143490187803,66.11503532130122,82.31782373215164,40.555760709010336,97.80649926144756,38.01698670605613,77.57432316154227,High,availability_index_role,97.80649926144756,Rol explicado principalmente por: Availability P98 · Ball Progression P69 · Passing Security P66
ENG-Premier League,1718,Bournemouth,Ryan Fraser,SCO,"MF,DF",23.0,2004,22.3,Attacking Progressor,Creative Playmaker,1.3,98.7,54.3,53.0,78.12451437451438,84.61538461538461,81.18131868131869,30.225905237790936,68.26923076923077,93.02884615384615,71.53846153846155,69.71153846153845,78.02197802197803,High,crossing_width_index,93.02884615384615,Rol explicado principalmente por: Chance Creation P85 · Ball Progression P81 · Passing Volume P68
ENG-Premier League,1718,Bournemouth,Simon Francis,ENG,DF,32.0,2705,30.1,Aerial Defender,Aggressive Defender,10.7,89.3,50.9,40.2,25.21863561867121,77.54390283932382,87.2599704579025,44.64248914728679,86.90915805022156,80.705317577548,83.42688330871492,3.895864106351553,71.77644763796808,High,ball_progression_index,87.2599704579025,Rol explicado principalmente por: Ball Progression P87 · Availability P83 · Passing Security P45
ENG-Premier League,1718,Bournemouth,Steve Cook,ENG,DF,26.0,2767,30.7,Aerial Defender,Aggressive Defender,9.2,90.8,51.7,42.4,67.22310750887526,54.58312817987855,65.44629668706479,43.51778533225442,73.94756277695717,41.128138847858196,85.12555391432792,38.01698670605613,64.6965453112157,High,availability_index_role,85.12555391432792,Rol explicado principalmente por: Availability P85 · Ball Progression P65 · Passing Security P44
ENG-Premier League,1718,Bournemouth,Tyrone Mings,ENG,DF,24.0,201,2.2,,,,,,,29.6737746375991,40.97735105859182,17.16079341633256,34.16828065214285,13.367799113737076,42.44830132939438,13.020679468242246,64.198670605613,,No role assigned,discipline_risk_index,64.198670605613,"Sin rol táctico asignado. La capa de índices está disponible, pero no se genera explicación de rol."
ENG-Premier League,1718,Brighton,Anthony Knockaert,FRA,"MF,FW",25.0,2421,26.9,Attacking Progressor,Ball Winner,2.4,97.6,59.1,56.7,40.66180328345785,64.36995654872749,82.00319233838786,65.64093587184823,86.54562383612664,80.48184357541899,84.27374301675977,9.217877094972067,77.63959090774733,High,passing_volume_index,86.54562383612664,Rol explicado principalmente por: Passing Volume P87 · Ball Progression P82 · Chance Creation P64
ENG-Premier League,1718,Brighton,Beram Kayal,ISR,MF,29.0,745,8.3,,,,,,,33.168303748272784,42.59491333752206,31.510780207848608,27.149071329160538,28.492580528411143,43.97394136807817,37.310195227765725,55.58568329718004,,No role assigned,discipline_risk_index,55.58568329718004,"Sin rol táctico asignado. La capa de índices está disponible, pero no se genera explicación de rol."
ENG-Premier League,1718,Brighton,Bruno,ESP,DF,36.0,2016,22.4,Aerial Defender,Ball-Playing Centre-Back,0.7,99.3,34.2,33.5,32.94567222385476,62.03840472673559,69.66659632833931,54.35741177161137,69.06080748399803,62.841580502215656,64.9261447562777,49.40915805022156,62.983384285409464,High,ball_progression_index,69.66659632833931,Rol explicado principalmente por: Ball Progression P70 · Availability P65 · Passing Security P54
ENG-Premier League,1718,Brighton,Connor Goldson,ENG,DF,24.0,200,2.2,,,,,,,51.425172986465626,15.13211882488101,9.981008651614264,24.637629014654703,10.881339241752832,34.88737075332349,11.838995568685379,64.198670605613,,No role assigned,discipline_risk_index,64.198670605613,"Sin rol táctico asignado. La capa de índices está disponible, pero no se genera explicación de rol."
ENG-Premier League,1718,Brighton,Dale Stephens,ENG,MF,28.0,3240,36.0,Ball Winner,Attacking Progressor,18.1,81.9,36.5,18.4,23.332030188552192,55.22608268063813,77.41585233441911,68.18910560213591,89.404632645675,24.55211726384365,96.56182212581345,37.988069414316705,80.72226002078949,High,availability_index_role,96.56182212581345,Rol explicado principalmente por: Availability P97 · Ball Progression P77 · Passing Security P68
ENG-Premier League,1718,Brighton,Davy Pröpper,NED,MF,25.0,3119,34.7,Ball Winner,Attacking Progressor,10.7,89.3,25.9,15.2,25.611065212320327,65.93309265331173,78.8196060183031,49.19584942565538,79.60550126673905,51.31650380021715,94.45770065075922,30.856832971800433,74.15771869823924,High,availability_index_role,94.45770065075922,Rol explicado principalmente por: Availability P94 · Ball Progression P79 · Passing Security P49
ENG-Premier League,1718,Brighton,Ezequiel Schelotto,ITA,DF,28.0,1318,14.6,Aerial Defender,Ball-Playing Centre-Back,3.8,96.2,51.4,47.6,34.09715518433076,54.730838667323155,58.09242456214391,30.878829978219397,38.44780896110291,61.29062038404727,46.97932053175776,49.40915805022156,45.31685835737369,High,crossing_width_index,61.29062038404727,Rol explicado principalmente por: Ball Progression P58 · Availability P47 · Passing Security P31
ENG-Premier League,1718,Brighton,Gaëtan Bong,CMR,DF,29.0,2236,24.8,Aggressive Defender,Aerial Defender,16.3,83.7,37.1,20.8,26.875280011929263,46.59034958148695,71.73981852711543,23.390247559343223,59.711964549483014,63.192392909896604,69.4903988183161,56.29615952732644,54.87348830159158,High,ball_progression_index,71.73981852711543,Rol explicado principalmente por: Ball Progression P72 · Availability P69 · Passing Security P23
ENG-Premier League,1718,Brighton,Glenn Murray,ENG,FW,33.0,2192,24.4,Box Finisher,Creator Forward,8.9,91.1,32.9,24.0,69.6526648794059,46.39183948743889,63.65705614567526,31.57561664525978,76.49215983813859,44.87860394537177,80.98634294385434,27.010622154779973,65.67694910356637,High,availability_index_role,80.98634294385434,Rol explicado principalmente por: Availability P81 · Finishing P70 · Chance Creation P46
ENG-Premier League,1718,Brighton,Izzy Brown,ENG,"MF,FW",20.0,311,3.5,,,,,,,28.953040918315644,31.967721911855985,22.16679968076616,23.243087826203958,20.600558659217878,32.262569832402235,24.273743016759777,68.50558659217876,,No role assigned,discipline_risk_index,68.50558659217876,"Sin rol táctico asignado. La capa de índices está disponible, pero no se genera explicación de rol."
ENG-Premier League,1718,Brighton,Jamie Murphy,SCO,MF,27.0,168,1.9,,,,,,,32.06300056927048,15.232176184563976,20.2807507367768,48.14488796648107,14.875135722041259,29.12595005428882,17.635574837310195,70.7700650759219,,No role assigned,discipline_risk_index,70.7700650759219,"Sin rol táctico asignado. La capa de índices está disponible, pero no se genera explicación de rol."
ENG-Premier League,1718,Brighton,José Izquierdo,COL,"MF,FW",25.0,1984,22.0,Attacking Progressor,Attacking Progressor,11.1,88.9,37.8,26.7,63.226298520048644,59.97827436374923,57.402234636871505,36.77842297439276,51.67597765363129,44.44832402234637,74.16201117318435,47.41620111731844,56.352162218084004,High,availability_index_role,74.16201117318435,Rol explicado principalmente por: Chance Creation P60 · Ball Progression P57 · Passing Volume P52
ENG-Premier League,1718,Brighton,Jürgen Locadia,CUW,"FW,MF",23.0,224,2.5,,,,,,,74.19057984285205,28.225806451612907,13.726135615536537,29.4095105170038,16.01382488479263,24.855990783410142,19.377880184331797,67.28110599078342,,No role assigned,finishing_index_role,74.19057984285205,"Sin rol táctico asignado. La capa de índices está disponible, pero no se genera explicación de rol."
ENG-Premier League,1718,Brighton,Leonardo Ulloa,ARG,FW,31.0,267,3.0,,,,,,,73.05443200361202,29.017029168774243,37.708649468892254,32.56321005783362,32.207890743550834,32.113050075872536,28.179059180576633,66.42640364188165,,No role assigned,finishing_index_role,73.05443200361202,"Sin rol táctico asignado. La capa de índices está disponible, pero no se genera explicación de rol."
ENG-Premier League,1718,Brighton,Lewis Dunk,ENG,DF,25.0,3420,38.0,Aerial Defender,Ball-Playing Centre-Back,14.4,85.6,54.3,39.9,50.68482161160224,60.4874446085672,60.877822325385104,61.429218684426566,78.77892663712457,49.20605612998523,99.15066469719349,31.868537666174298,73.81923523566839,High,availability_index_role,99.15066469719349,Rol explicado principalmente por: Availability P99 · Passing Security P61 · Ball Progression P61
ENG-Premier League,1718,Brighton,Liam Rosenior,ENG,DF,33.0,164,1.8,,,,,,,32.59515162413094,15.13211882488101,13.30976999366955,15.129591878146558,10.622845888724767,34.88737075332349,10.007385524372229,73.07976366322009,,No role assigned,discipline_risk_index,73.07976366322009,"Sin rol táctico asignado. La capa de índices está disponible, pero no se genera explicación de rol."
ENG-Premier League,1718,Brighton,Markus Suttner,AUT,DF,30.0,1179,13.1,Aggressive Defender,Aerial Defender,13.6,86.4,35.0,21.5,27.88542933104695,44.050549811258826,56.341000211014986,29.36840699726771,40.81117676021665,73.62444608567208,40.3397341211226,73.07976366322009,42.0163804431351,High,crossing_width_index,73.62444608567208,Rol explicado principalmente por: Ball Progression P56 · Availability P40 · Passing Security P29
ENG-Premier League,1718,Brighton,Mathew Ryan,AUS,GK,25.0,3420,38.0,,,,,,,50.4375,46.510416666666664,56.58482142857143,60.8986335373725,67.31770833333333,50.0390625,93.78125,62.5,,No role assigned,availability_index_role,93.78125,"Sin rol táctico asignado. La capa de índices está disponible, pero no se genera explicación de rol."
