player_name_fbref,player_name_tm,club,league,season,position_group,age,minutes_played,market_value_eur,predicted_market_value_eur,market_value_gap_eur,market_value_gap_pct,inefficiency_score_z,growth_score,confidence_score,opportunity_score,opportunity_tier,matching_confidence,matching_method
Iker Muñoz,Iker Muñoz,Osasuna,LaLiga,2023-2024,MID,21.10335386721424,1854,5000000.0,5389067.918449643,389067.9184496431,0.0778135836899286,0.1193787856536627,99.99998899808593,86.41666666666667,87.02109973752431,target_scouting,0.85,exact_age_validated
Ilario Monterisi,Ilario Monterisi,Frosinone,Serie A,2023-2024,DEF,21.80971937029432,1469,1500000.0,3630492.964815065,2130492.964815065,1.4203286432100433,1.0617825345747365,63.89231250162032,85.23055555555557,86.7308483688561,target_scouting,1.0,exact_age_club_validated
Jesus Rodríguez,Jesús Rodríguez,Real Betis,LaLiga,2024-2025,MID,18.89664613278576,1111,700000.0,5937091.945530024,5237091.945530024,5.0,2.3196196230899084,25.47546039762014,76.01944444444445,86.26640407880855,target_scouting,0.85,exact_age_validated
Eren Dinkçi,Eren Dinkçi,Heidenheim,Bundesliga,2023-2024,MID,21.84531143052704,2650,3000000.0,9922723.61955824,6922723.619558239,2.3075745398527463,1.42560846692068,45.70105279109474,86.41666666666667,85.82619892902014,target_scouting,0.85,exact_age_validated
Jarell Quansah,Jarell Quansah,Liverpool,Premier League,2023-2024,DEF,20.692676249144423,1190,2000000.0,6195650.056587502,4195650.056587502,2.097825028293751,1.3492872547813937,63.89232320009983,74.55555555555557,85.70707760611289,target_scouting,0.85,exact_age_validated
Jakob Breum,Jakob Breum,Go Ahead Eagles,Eredivisie,2024-2025,MID,20.908966461327857,2059,1500000.0,5755744.74438899,4255744.74438899,2.837163162925993,1.598623902613845,26.14170513363474,95.83333333333334,85.65047602442323,target_scouting,1.0,exact_age_club_validated
Carlos Dominguez,Carlos Domínguez,Celta Vigo,LaLiga,2023-2024,DEF,22.858316221765914,1584,700000.0,7838272.314550837,7138272.314550837,5.0,2.3196196230899084,7.286191099360021,88.25833333333334,85.44541920930082,target_scouting,0.85,exact_age_validated
Pau Navarro,Pau Navarro,Villarreal,LaLiga,2024-2025,DEF,19.64955509924709,916,500000.0,2938274.3170720204,2438274.3170720204,4.876548634144041,2.095165517344876,40.27674072040429,69.2277777777778,85.18288261994174,target_scouting,0.85,exact_age_validated
Chadi Riad,Chadi Riad,Real Betis,LaLiga,2023-2024,DEF,20.32306639288159,2164,1000000.0,4010313.597137768,3010313.597137768,3.0103135971377672,1.6500400184411774,34.19739599015837,86.41666666666667,84.8004443964735,target_scouting,0.85,exact_age_validated
Hugo Sotelo,Hugo Sotelo,Celta Vigo,LaLiga,2023-2024,MID,19.81656399726215,721,500000.0,3041289.010121037,2541289.010121037,5.0,2.135308339429505,41.97459989017914,65.43611111111112,84.54445386450243,target_scouting,0.85,exact_age_validated
Geny Catamo,Geny Catamo,Sporting CP,Liga Portugal,2023-2024,MID,22.67214236824093,1684,1500000.0,5367704.995528987,3867704.995528986,2.578469997019325,1.5173131072958446,39.33614777856725,85.8277777777778,84.48823396497887,target_scouting,0.85,exact_age_validated
Patrick Dorgu,Patrick Dorgu,Lecce,Serie A,2023-2024,DEF,18.95687885010267,1564,2500000.0,4720324.003428662,2220324.003428662,0.8881296013714649,0.7725074526369564,73.71932726789737,81.82777777777778,84.48598371323628,target_scouting,0.85,exact_age_validated
João Gonçalves,João Gonçalves,Boavista,Liga Portugal,2023-2024,GK,22.89664613278576,3060,500000.0,1454272.0149332362,954272.0149332362,1.9085440298664724,1.2758402554366626,40.27674072040429,91.66666666666669,84.1591281254376,target_scouting,1.0,exact_age_club_validated
Cole Palmer,Cole Palmer,Chelsea,Premier League,2023-2024,MID,21.182751540041068,2607,18000000.0,91617421.26102786,73617421.26102786,4.08985673672377,1.927739767338853,13.978897748714436,92.08333333333334,84.07081558674044,target_scouting,0.85,exact_age_validated
Gaetano Oristanio,Gaetano Oristanio,Cagliari,Serie A,2023-2024,MID,21.03490759753593,1104,1500000.0,8858163.312329998,7358163.312329998,4.905442208219998,2.100879233772297,26.14170513363474,77.05000000000001,83.79549908289293,target_scouting,0.85,exact_age_validated
Arthur Atta,Arthur Atta,Udinese,Serie A,2024-2025,MID,21.927446954141,1251,1000000.0,7244173.1482627485,6244173.1482627485,5.0,2.3196196230899084,10.053674839749371,82.40833333333335,83.6013639763886,target_scouting,0.85,exact_age_validated
Ilaix Moriba,Ilaix Moriba,Celta Vigo,LaLiga,2024-2025,MID,21.93839835728953,2132,4000000.0,18956112.559742525,14956112.559742523,3.7390281399356313,1.8445422241739136,14.454693535314805,93.08333333333334,83.51514001574421,target_scouting,0.85,exact_age_validated
Mason Greenwood,Mason Greenwood,Getafe,LaLiga,2023-2024,MID,21.916495550992472,2662,5000000.0,33869890.77640487,28869890.77640488,5.0,2.2607261545891912,0.9406250372380488,90.25,83.1643027129305,target_scouting,0.85,exact_age_validated
William Osula,William Osula,Sheffield United,Premier League,2023-2024,ATT,20.18069815195072,786,1000000.0,4562220.432833058,3562220.432833058,3.562220432833058,1.8002479606215105,48.23170767273699,66.70000000000002,82.58026530021002,target_scouting,0.85,exact_age_validated
Moussa Diarra,Moussa Diarra,Toulouse,Ligue 1,2023-2024,DEF,22.92950034223135,1397,1500000.0,6464589.031796773,4964589.031796773,3.3097260211978488,1.7339217203024293,31.596473139527344,80.87222222222222,82.32052392133325,target_scouting,0.85,exact_age_validated
Cristhian Mosquera,Cristhian Mosquera,Valencia,LaLiga,2023-2024,DEF,19.29363449691992,3075,2000000.0,6918094.995312755,4918094.995312755,2.459047497656377,1.477772477108798,34.19740401402804,86.41666666666667,82.25578260020231,target_scouting,0.85,exact_age_validated
Arthur Zagre,Arthur Zagré,Excelsior,Eredivisie,2023-2024,DEF,22.034223134839152,2313,850000.0,3690675.272678501,2840675.272678501,3.341970909033531,1.7426052603188955,13.299568969089476,93.67857142857144,81.86737004638942,target_scouting,0.85,exact_age_validated
Rafa Marín,Rafa Marín,Alavés,LaLiga,2023-2024,DEF,21.40177960301164,2443,3000000.0,4403010.194110865,1403010.1941108648,0.4676700647036216,0.4790456382308615,71.81502240666526,86.41666666666667,81.69820638095662,target_scouting,0.85,exact_age_validated
Hélio Varela,Hélio Varela,Portimonense,Liga Portugal,2023-2024,MID,21.4072553045859,2743,500000.0,2428671.6020076266,1928671.6020076263,3.857343204015253,1.873269221310864,19.66307817607741,84.47222222222223,81.65324343484582,target_scouting,0.85,exact_age_validated
Luca Marianucci,Luca Marianucci,Empoli,Serie A,2024-2025,DEF,20.40520191649555,1069,800000.0,2260864.9064369453,1460864.9064369453,1.8260811330461817,1.242334554003782,60.31270565962471,72.2027777777778,81.61476861144305,target_scouting,0.85,exact_age_validated
Matìas Soulé,Matías Soulé,Frosinone,Serie A,2023-2024,MID,20.490075290896645,3121,8000000.0,25282322.64999118,17282322.64999118,2.160290331248897,1.372543785839348,33.2567849947001,88.08333333333334,81.16934062284189,target_scouting,0.85,exact_age_validated
Junior Kadile,Junior Kadile,Almere City,Eredivisie,2024-2025,MID,22.0041067761807,2207,500000.0,2501614.796693139,2001614.7966931388,4.003229593386277,1.9077422585762631,6.295018383809746,92.25,80.95815897013871,target_scouting,0.85,exact_age_validated
Etienne Youte Kinkoue,Étienne Youté Kinkoué,Le Havre,Ligue 1,2023-2024,DEF,21.924709103353862,1941,1800000.0,2510905.4924097164,710905.4924097164,0.3949474957831757,0.4198438860438118,71.81500457585918,86.41666666666667,80.82369587095722,target_scouting,0.85,exact_age_validated
Antony,Antony,Manchester Utd,Premier League,2023-2024,MID,22.76249144421629,1324,2500000.0,14362971.081364386,11862971.081364386,4.7451884325457545,2.0688297193320206,10.053674839749371,83.82777777777778,80.59763595049996,target_scouting,0.85,exact_age_validated
Bart van Rooij,Bart van Rooij,NEC Nijmegen,Eredivisie,2023-2024,DEF,22.55441478439425,1975,1000000.0,4130086.8757230174,3130086.8757230183,3.1300868757230185,1.6843231697551613,11.359054184785498,94.19444444444444,80.52889500577028,target_scouting,0.85,exact_age_validated
Yan Couto,Yan Couto,Girona,LaLiga,2023-2024,DEF,21.36071184120465,2245,8000000.0,27572790.693921,19572790.693921,2.446598836740125,1.4735724315477956,25.233356534736107,89.75000000000001,80.45691180550054,target_scouting,0.85,exact_age_validated
João Marques,João Marques,Estoril,Liga Portugal,2023-2024,MID,21.623545516769337,1969,1000000.0,2248266.4262764007,1248266.4262764007,1.2482664262764007,0.9758749942502328,49.05744075747101,86.41666666666667,80.44947259993958,target_scouting,0.85,exact_age_validated
Brayann Pereira,Brayann Pereira,NEC Nijmegen,Eredivisie,2024-2025,DEF,21.40177960301164,2098,1000000.0,3254326.8261711434,2254326.8261711434,2.254326826171144,1.4067017541756526,25.00181297571708,90.9404761904762,79.9695375028321,high_priority,0.85,exact_age_validated
Taichi Fukui,Taichi Fukui,Arouca,Liga Portugal,2024-2025,MID,20.23271731690623,2183,1500000.0,4177347.359229303,2677347.359229303,1.784898239486202,1.225233565685625,35.0777909459971,88.08333333333334,79.68050105345458,high_priority,0.85,exact_age_validated
Daan Rots,Daan Rots,Twente,Eredivisie,2023-2024,MID,22.22861054072553,2573,2000000.0,4646723.938912324,2646723.938912324,1.3233619694561618,1.014150199979556,43.26361588827293,88.08333333333334,79.65142841172442,high_priority,0.85,exact_age_validated
Sem Steijn,Sem Steijn,Twente,Eredivisie,2023-2024,MID,21.927446954141,2414,3000000.0,6614772.742064958,3614772.7420649584,1.2049242473549862,0.9531978485799574,44.76042775385668,88.08333333333334,79.31589521981644,high_priority,0.85,exact_age_validated
Mikel Jauregizar,Mikel Jauregizar,Athletic Club,LaLiga,2024-2025,MID,20.91170431211499,2244,3000000.0,4832096.551104931,1832096.5511049312,0.6106988503683104,0.5873761559851162,53.02963522044837,91.66666666666669,78.80179223080448,high_priority,1.0,exact_age_club_validated
Jack Hinshelwood,Jack Hinshelwood,Brighton,Premier League,2023-2024,DEF,18.494182067077343,869,1000000.0,6713010.049899593,5713010.049899593,5.0,2.250193789470953,19.66307817607741,66.36944444444445,78.28294989911576,high_priority,0.85,exact_age_validated
Lukas Ullrich,Lukas Ullrich,Gladbach,Bundesliga,2024-2025,DEF,20.76386036960985,1903,3000000.0,5108477.640074883,2108477.6400748827,0.7028258800249609,0.6521715333079976,55.314543190906775,86.41666666666667,78.02900908476386,high_priority,0.85,exact_age_validated
Johan Manzambi,Johan Manzambi,Freiburg,Bundesliga,2024-2025,MID,18.98699520876112,335,750000.0,4168384.047145178,3418384.047145178,4.557845396193571,2.030209251742749,38.61821727292495,57.93055555555557,78.01963153014428,high_priority,0.85,exact_age_validated
Arthur Atta,Arthur Atta,Metz,Ligue 1,2023-2024,MID,20.92539356605065,924,500000.0,3174393.0287945066,2674393.0287945066,5.0,2.1852087365389714,10.994299876987418,74.38333333333334,78.00858744310952,high_priority,0.85,exact_age_validated
Rocco Reitz,Rocco Reitz,Gladbach,Bundesliga,2023-2024,MID,21.388090349075977,2136,4000000.0,5623377.387520007,1623377.3875200069,0.4058443468800017,0.4289086729881923,63.892339247839104,86.41666666666667,77.96793832133194,high_priority,0.85,exact_age_validated
Jake O'Brien,Jake O'Brien,Lyon,Ligue 1,2023-2024,DEF,22.420260095824776,2369,1500000.0,3879399.7654269338,2379399.7654269338,1.5862665102846225,1.139032333410336,36.018415983235144,86.41666666666667,77.93922169828706,high_priority,0.85,exact_age_validated
Kamory Doumbia,Kamory Doumbia,Brest,Ligue 1,2023-2024,MID,20.829568788501028,879,2000000.0,20903538.31553769,18903538.31553769,5.0,2.3196196230899084,5.473351157642736,74.17500000000001,77.80782829179357,high_priority,0.85,exact_age_validated
Raúl Torrente,Raúl Torrente,Granada,LaLiga,2023-2024,DEF,22.086242299794662,1250,1500000.0,5706383.394708501,4206383.394708501,2.804255596472334,1.5885902357455397,26.14170513363474,79.88888888888889,77.62985130110472,high_priority,0.85,exact_age_validated
Guela Doué,Guéla Doué,Rennes,Ligue 1,2023-2024,DEF,20.996577686516083,1234,1000000.0,2599568.4280436626,1599568.4280436626,1.5995684280436626,1.1450086245697138,49.05744075747101,75.41111111111111,77.51396051843759,high_priority,0.85,exact_age_validated
Yann Gboho,Yann Gboho,Toulouse,Ligue 1,2023-2024,MID,22.92676249144421,1193,2500000.0,11279426.945051244,8779426.945051244,3.511770778020497,1.7872940902755032,16.328021749966467,81.0027777777778,77.41174971418151,high_priority,0.85,exact_age_validated
Matías Lacava,Matías Lacava,Vizela,Liga Portugal,2023-2024,MID,20.93086926762492,1334,500000.0,1533994.9977732294,1033994.9977732294,2.067989995546459,1.3380133427188423,29.60592242531749,84.27222222222224,77.39990092220151,high_priority,1.0,exact_age_club_validated
Antoine Hainaut,Antoine Hainaut,Parma,Serie A,2024-2025,DEF,22.663928815879533,1206,750000.0,2610454.7556427084,1860454.7556427084,2.4806063408569443,1.4850105719524258,36.018403756397106,74.86666666666667,77.3471663119422,high_priority,0.85,exact_age_validated
Enzo Tchato,Enzo Tchato,Montpellier,Ligue 1,2024-2025,DEF,22.04791238877481,1899,2500000.0,7431334.42378054,4931334.42378054,1.972533769512216,1.3011918793766486,9.113049802511323,100.0,76.8883323186148,high_priority,1.0,exact_age_club_validated
Chrislain Matsima,Chrislain Matsima,Augsburg,Bundesliga,2024-2025,DEF,22.60095824777549,2551,7000000.0,24362898.99285207,17362898.99285207,2.4804141418360097,1.4849462419621602,8.172424765273277,94.75,76.65559046842526,high_priority,0.85,exact_age_validated
Callum Hudson-Odoi,Callum Hudson-Odoi,Nottingham Forest,Premier League,2023-2024,MID,22.91854893908282,1854,12000000.0,41520382.11771278,29520382.11771278,2.460031843142732,1.478103939663017,2.651474708614667,99.0,76.56955510041213,high_priority,1.0,exact_age_club_validated
Syb Van Ottele,Syb van Ottele,Fortuna Sittard,Eredivisie,2024-2025,DEF,22.87200547570157,1874,600000.0,2256650.0661904714,1656650.0661904714,2.7610834436507856,1.575294411961334,6.86606910629981,92.36904761904762,76.32164450359232,high_priority,0.85,exact_age_validated
Yan Diomandé,Yan Diomande,Leganés,LaLiga,2024-2025,MID,18.472279260780287,545,600000.0,6359218.179445967,5759218.179445967,5.0,2.3196196230899084,19.66307817607741,60.06944444444444,76.19791696799997,high_priority,0.85,exact_age_validated
Marc Pubill,Marc Pubill,Almería,LaLiga,2023-2024,DEF,20.314852840520192,1883,2500000.0,5311792.994658326,2811792.994658326,1.1247171978633304,0.9100314792405914,40.27677923490349,86.41666666666667,76.16343130452243,high_priority,0.85,exact_age_validated
Rodrigo Gomes,Rodrigo Gomes,Estoril,Liga Portugal,2023-2024,MID,20.47364818617385,2445,5000000.0,14115555.86430679,9115555.86430679,1.823111172861358,1.2411096571066875,20.641888185389423,91.41666666666669,76.11335369014584,high_priority,0.85,exact_age_validated
Gonçalo Franco,Gonçalo Franco,Moreirense,Liga Portugal,2023-2024,MID,22.863791923340177,2721,1500000.0,3841578.8541664346,2341578.8541664346,1.5610525694442898,1.1276193722691787,26.14170513363474,90.58333333333334,76.1008565269914,high_priority,0.85,exact_age_validated
Jarrad Branthwaite,Jarrad Branthwaite,Everton,Premier League,2023-2024,DEF,21.28405201916496,3116,18000000.0,49112198.31026232,31112198.310262315,1.7284554616812398,1.2013805703431346,22.54318824322032,90.75,75.91479743110816,high_priority,0.85,exact_age_validated
Clément Akpa,Clément Akpa,Auxerre,Ligue 1,2024-2025,DEF,22.869267624914443,2486,1000000.0,3212279.9249922764,2212279.9249922764,2.212279924992276,1.391552233591784,15.82446307505967,90.16666666666669,75.90057370705755,high_priority,0.85,exact_age_validated
Luck Zogbé,Luck Zogbé,Brest,Ligue 1,2024-2025,DEF,19.540041067761805,638,500000.0,1391105.0649380186,891105.0649380186,1.782210129876037,1.2241085655933093,56.80942349144356,63.82222222222224,75.88574385334782,high_priority,0.85,exact_age_validated
Guillaume Restes,Guillaume Restes,Toulouse,Ligue 1,2023-2024,GK,18.50239561943874,3060,2000000.0,6938998.404851164,4938998.404851164,2.469499202425582,1.481287114626698,19.66307817607741,84.47222222222223,75.86304598471153,high_priority,0.85,exact_age_validated
Denilho Cleonise,Denilho Cleonise,RKC Waalwijk,Eredivisie,2023-2024,MID,21.856262833675565,1800,500000.0,1132862.303536492,632862.3035364919,1.265724607072984,0.9848860502010842,25.942431135362167,94.52380952380952,75.8628329873635,high_priority,1.0,exact_age_club_validated
Bradley Locko,Bradley Locko,Brest,Ligue 1,2023-2024,DEF,21.44558521560575,2959,5000000.0,11459584.36192254,6459584.36192254,1.291916872384508,0.9982758138041244,33.25678379111753,88.08333333333334,75.64080858420708,high_priority,0.85,exact_age_validated
Félix Correia,Félix Correia,Gil Vicente FC,Liga Portugal,2023-2024,MID,22.92676249144421,2167,1500000.0,4618756.172138368,3118756.172138368,2.0791707814255784,1.3422510744809748,14.88383937513373,91.83333333333331,75.64026832174467,high_priority,0.85,exact_age_validated
Adrian Blake,Adrian Blake,Utrecht,Eredivisie,2024-2025,MID,19.42505133470226,468,500000.0,4117146.976427299,3617146.976427299,5.0,2.3196196230899084,10.994299876987418,65.51666666666668,75.61622056916529,high_priority,0.85,exact_age_validated
Diego Coppola,Diego Coppola,Hellas Verona,Serie A,2024-2025,DEF,20.80766598220397,2927,7500000.0,22140476.3418051,14640476.3418051,1.95206351224068,1.2931417766877331,13.943216477597163,93.5,75.382797335195,high_priority,0.85,exact_age_validated
Tiago Tomás,Tiago Tomás,Wolfsburg,Bundesliga,2024-2025,MID,22.51334702258727,1884,9000000.0,26174337.39556801,17174337.395568006,1.908259710618668,1.275726372914448,16.237031056905707,92.25,75.37395189902647,high_priority,0.85,exact_age_validated
Omar El Hilali,Omar El Hilali,Espanyol,LaLiga,2024-2025,DEF,21.08145106091718,3153,3000000.0,7562595.429360264,4562595.429360264,1.520865143120088,1.1091943999172174,27.082332845498684,88.91666666666667,75.36074104210518,high_priority,0.85,exact_age_validated
Williot Swedberg,Williot Swedberg,Celta Vigo,LaLiga,2024-2025,MID,20.903490759753595,1348,5000000.0,20833191.124682847,15833191.124682847,3.1666382249365697,1.69458759764134,10.053674839749371,84.29444444444445,75.2998982619701,high_priority,0.85,exact_age_validated
Gerard Martín,Gerard Martín,Barcelona,LaLiga,2024-2025,DEF,22.622861054072555,1038,3000000.0,3642314.903592986,642314.903592986,0.2141049678643286,0.2580917822869996,82.89122967101068,71.60000000000002,75.29844925540168,high_priority,0.85,exact_age_validated
Tim Oermann,Tim Oermann,Bochum,Bundesliga,2024-2025,DEF,21.20739219712525,2213,4000000.0,12943444.4776995,8943444.477699501,2.235861119424875,1.400072799358827,10.053674839749371,93.08333333333334,75.28887440653477,high_priority,0.85,exact_age_validated
Ansgar Knauff,Ansgar Knauff,Eintracht Frankfurt,Bundesliga,2023-2024,MID,21.924709103353862,2109,8000000.0,21480905.882147383,13480905.882147385,1.6851132352684228,1.1827265661495268,9.113049802511323,100.0,75.13841174091424,high_priority,1.0,exact_age_club_validated
Mika Mármol,Mika Mármol,Las Palmas,LaLiga,2023-2024,DEF,22.28062970568104,3178,2500000.0,4768493.572061071,2268493.572061071,0.9073974288244284,0.7843351340155591,35.26891048870131,91.66666666666669,75.00908719392163,high_priority,1.0,exact_age_club_validated
Warren Bondo,Warren Bondo,Monza,Serie A,2023-2024,MID,20.26283367556468,1475,1000000.0,2988332.2086645504,1988332.2086645504,1.9883322086645503,1.3073669377516035,25.94243801295512,82.9543650793651,74.91409116429708,high_priority,0.85,exact_age_validated
Lucien Agoume,Lucien Agoumé,Sevilla,LaLiga,2024-2025,MID,22.88021902806297,2114,7000000.0,21403371.19367778,14403371.19367778,2.0576244562396826,1.3340707865906594,10.538381244634666,93.91666666666669,74.90827654564694,high_priority,0.85,exact_age_validated
Joel silva,Joel Silva,Boavista,Liga Portugal,2024-2025,MID,21.85352498288844,2397,600000.0,1353720.1131886395,753720.1131886397,1.256200188647733,0.9799786553869236,34.19738529168425,86.41666666666667,74.90257122289785,high_priority,0.85,exact_age_validated
Alberto costa,Alberto Costa,Juventus,Serie A,2024-2025,DEF,21.026694045174537,357,500000.0,5416893.206847618,4916893.206847618,5.0,2.3196196230899084,18.72245313883936,58.08055555555557,74.86097304100673,high_priority,0.85,exact_age_validated
Thijmen Blokzijl,Thijmen Blokzijl,Groningen,Eredivisie,2024-2025,DEF,19.80835044490076,2226,800000.0,2698743.8986427938,1898743.8986427933,2.3734298733034924,1.4485751610742312,7.608317092355816,92.52777777777776,74.80826274400441,high_priority,0.85,exact_age_validated
Tika de Jonge,Tika de Jonge,Groningen,Eredivisie,2024-2025,MID,21.59616700889801,1271,500000.0,778045.2784586268,278045.2784586268,0.5560905569172536,0.5471954373570455,63.89222691416951,76.13055555555557,74.63651356022207,high_priority,0.85,exact_age_validated
Beñat Prados,Beñat Prados,Athletic Club,LaLiga,2023-2024,MID,22.67488021902806,1449,1500000.0,2996573.418504362,1496573.418504362,0.9977156123362412,0.8382308524244043,40.276772815805295,84.84166666666668,74.32517908606147,high_priority,1.0,exact_age_club_validated
Dion Lopy,Dion Lopy,Almería,LaLiga,2023-2024,MID,21.69199178644764,1916,6000000.0,13381677.787735358,7381677.787735358,1.2302796312892263,0.966517613504356,18.118280685610426,97.5,74.10848288675048,high_priority,1.0,exact_age_club_validated
