source,league_key,league,season_start_year,season,status,players_count,teams_count,metrics_available,error
understat,La liga,LaLiga,2014,2014-2015,OK,523,26,"['assists', 'games', 'goals', 'id', 'key_passes', 'npg', 'npxG', 'player_name', 'position', 'red_cards', 'shots', 'team_title', 'time', 'xA', 'xG', 'xGBuildup', 'xGChain', 'yellow_cards']",
understat,La liga,LaLiga,2015,2015-2016,OK,539,27,"['assists', 'games', 'goals', 'id', 'key_passes', 'npg', 'npxG', 'player_name', 'position', 'red_cards', 'shots', 'team_title', 'time', 'xA', 'xG', 'xGBuildup', 'xGChain', 'yellow_cards']",
understat,La liga,LaLiga,2016,2016-2017,OK,541,31,"['assists', 'games', 'goals', 'id', 'key_passes', 'npg', 'npxG', 'player_name', 'position', 'red_cards', 'shots', 'team_title', 'time', 'xA', 'xG', 'xGBuildup', 'xGChain', 'yellow_cards']",
understat,La liga,LaLiga,2017,2017-2018,OK,557,36,"['assists', 'games', 'goals', 'id', 'key_passes', 'npg', 'npxG', 'player_name', 'position', 'red_cards', 'shots', 'team_title', 'time', 'xA', 'xG', 'xGBuildup', 'xGChain', 'yellow_cards']",
understat,La liga,LaLiga,2018,2018-2019,OK,531,33,"['assists', 'games', 'goals', 'id', 'key_passes', 'npg', 'npxG', 'player_name', 'position', 'red_cards', 'shots', 'team_title', 'time', 'xA', 'xG', 'xGBuildup', 'xGChain', 'yellow_cards']",
understat,La liga,LaLiga,2019,2019-2020,OK,556,32,"['assists', 'games', 'goals', 'id', 'key_passes', 'npg', 'npxG', 'player_name', 'position', 'red_cards', 'shots', 'team_title', 'time', 'xA', 'xG', 'xGBuildup', 'xGChain', 'yellow_cards']",
understat,La liga,LaLiga,2020,2020-2021,OK,570,31,"['assists', 'games', 'goals', 'id', 'key_passes', 'npg', 'npxG', 'player_name', 'position', 'red_cards', 'shots', 'team_title', 'time', 'xA', 'xG', 'xGBuildup', 'xGChain', 'yellow_cards']",
understat,La liga,LaLiga,2021,2021-2022,OK,603,33,"['assists', 'games', 'goals', 'id', 'key_passes', 'npg', 'npxG', 'player_name', 'position', 'red_cards', 'shots', 'team_title', 'time', 'xA', 'xG', 'xGBuildup', 'xGChain', 'yellow_cards']",
understat,La liga,LaLiga,2022,2022-2023,OK,584,31,"['assists', 'games', 'goals', 'id', 'key_passes', 'npg', 'npxG', 'player_name', 'position', 'red_cards', 'shots', 'team_title', 'time', 'xA', 'xG', 'xGBuildup', 'xGChain', 'yellow_cards']",
understat,La liga,LaLiga,2023,2023-2024,OK,598,31,"['assists', 'games', 'goals', 'id', 'key_passes', 'npg', 'npxG', 'player_name', 'position', 'red_cards', 'shots', 'team_title', 'time', 'xA', 'xG', 'xGBuildup', 'xGChain', 'yellow_cards']",
understat,La liga,LaLiga,2024,2024-2025,OK,590,31,"['assists', 'games', 'goals', 'id', 'key_passes', 'npg', 'npxG', 'player_name', 'position', 'red_cards', 'shots', 'team_title', 'time', 'xA', 'xG', 'xGBuildup', 'xGChain', 'yellow_cards']",
understat,La liga,LaLiga,2025,2025-2026,OK,600,31,"['assists', 'games', 'goals', 'id', 'key_passes', 'npg', 'npxG', 'player_name', 'position', 'red_cards', 'shots', 'team_title', 'time', 'xA', 'xG', 'xGBuildup', 'xGChain', 'yellow_cards']",
understat,La liga,LaLiga,2026,2026-2027,EMPTY,0,0,[],
understat,Bundesliga,Bundesliga,2014,2014-2015,OK,453,26,"['assists', 'games', 'goals', 'id', 'key_passes', 'npg', 'npxG', 'player_name', 'position', 'red_cards', 'shots', 'team_title', 'time', 'xA', 'xG', 'xGBuildup', 'xGChain', 'yellow_cards']",
understat,Bundesliga,Bundesliga,2015,2015-2016,OK,476,33,"['assists', 'games', 'goals', 'id', 'key_passes', 'npg', 'npxG', 'player_name', 'position', 'red_cards', 'shots', 'team_title', 'time', 'xA', 'xG', 'xGBuildup', 'xGChain', 'yellow_cards']",
understat,Bundesliga,Bundesliga,2016,2016-2017,OK,470,24,"['assists', 'games', 'goals', 'id', 'key_passes', 'npg', 'npxG', 'player_name', 'position', 'red_cards', 'shots', 'team_title', 'time', 'xA', 'xG', 'xGBuildup', 'xGChain', 'yellow_cards']",
understat,Bundesliga,Bundesliga,2017,2017-2018,OK,472,28,"['assists', 'games', 'goals', 'id', 'key_passes', 'npg', 'npxG', 'player_name', 'position', 'red_cards', 'shots', 'team_title', 'time', 'xA', 'xG', 'xGBuildup', 'xGChain', 'yellow_cards']",
understat,Bundesliga,Bundesliga,2018,2018-2019,OK,468,24,"['assists', 'games', 'goals', 'id', 'key_passes', 'npg', 'npxG', 'player_name', 'position', 'red_cards', 'shots', 'team_title', 'time', 'xA', 'xG', 'xGBuildup', 'xGChain', 'yellow_cards']",
understat,Bundesliga,Bundesliga,2019,2019-2020,OK,487,28,"['assists', 'games', 'goals', 'id', 'key_passes', 'npg', 'npxG', 'player_name', 'position', 'red_cards', 'shots', 'team_title', 'time', 'xA', 'xG', 'xGBuildup', 'xGChain', 'yellow_cards']",
understat,Bundesliga,Bundesliga,2020,2020-2021,OK,496,26,"['assists', 'games', 'goals', 'id', 'key_passes', 'npg', 'npxG', 'player_name', 'position', 'red_cards', 'shots', 'team_title', 'time', 'xA', 'xG', 'xGBuildup', 'xGChain', 'yellow_cards']",
understat,Bundesliga,Bundesliga,2021,2021-2022,OK,511,30,"['assists', 'games', 'goals', 'id', 'key_passes', 'npg', 'npxG', 'player_name', 'position', 'red_cards', 'shots', 'team_title', 'time', 'xA', 'xG', 'xGBuildup', 'xGChain', 'yellow_cards']",
understat,Bundesliga,Bundesliga,2022,2022-2023,OK,506,27,"['assists', 'games', 'goals', 'id', 'key_passes', 'npg', 'npxG', 'player_name', 'position', 'red_cards', 'shots', 'team_title', 'time', 'xA', 'xG', 'xGBuildup', 'xGChain', 'yellow_cards']",
understat,Bundesliga,Bundesliga,2023,2023-2024,OK,494,31,"['assists', 'games', 'goals', 'id', 'key_passes', 'npg', 'npxG', 'player_name', 'position', 'red_cards', 'shots', 'team_title', 'time', 'xA', 'xG', 'xGBuildup', 'xGChain', 'yellow_cards']",
understat,Bundesliga,Bundesliga,2024,2024-2025,OK,481,29,"['assists', 'games', 'goals', 'id', 'key_passes', 'npg', 'npxG', 'player_name', 'position', 'red_cards', 'shots', 'team_title', 'time', 'xA', 'xG', 'xGBuildup', 'xGChain', 'yellow_cards']",
understat,Bundesliga,Bundesliga,2025,2025-2026,OK,499,26,"['assists', 'games', 'goals', 'id', 'key_passes', 'npg', 'npxG', 'player_name', 'position', 'red_cards', 'shots', 'team_title', 'time', 'xA', 'xG', 'xGBuildup', 'xGChain', 'yellow_cards']",
understat,Bundesliga,Bundesliga,2026,2026-2027,EMPTY,0,0,[],
understat,Serie A,Serie A,2014,2014-2015,OK,574,51,"['assists', 'games', 'goals', 'id', 'key_passes', 'npg', 'npxG', 'player_name', 'position', 'red_cards', 'shots', 'team_title', 'time', 'xA', 'xG', 'xGBuildup', 'xGChain', 'yellow_cards']",
understat,Serie A,Serie A,2015,2015-2016,OK,551,46,"['assists', 'games', 'goals', 'id', 'key_passes', 'npg', 'npxG', 'player_name', 'position', 'red_cards', 'shots', 'team_title', 'time', 'xA', 'xG', 'xGBuildup', 'xGChain', 'yellow_cards']",
understat,Serie A,Serie A,2016,2016-2017,OK,560,41,"['assists', 'games', 'goals', 'id', 'key_passes', 'npg', 'npxG', 'player_name', 'position', 'red_cards', 'shots', 'team_title', 'time', 'xA', 'xG', 'xGBuildup', 'xGChain', 'yellow_cards']",
understat,Serie A,Serie A,2017,2017-2018,OK,533,36,"['assists', 'games', 'goals', 'id', 'key_passes', 'npg', 'npxG', 'player_name', 'position', 'red_cards', 'shots', 'team_title', 'time', 'xA', 'xG', 'xGBuildup', 'xGChain', 'yellow_cards']",
understat,Serie A,Serie A,2018,2018-2019,OK,543,39,"['assists', 'games', 'goals', 'id', 'key_passes', 'npg', 'npxG', 'player_name', 'position', 'red_cards', 'shots', 'team_title', 'time', 'xA', 'xG', 'xGBuildup', 'xGChain', 'yellow_cards']",
understat,Serie A,Serie A,2019,2019-2020,OK,572,44,"['assists', 'games', 'goals', 'id', 'key_passes', 'npg', 'npxG', 'player_name', 'position', 'red_cards', 'shots', 'team_title', 'time', 'xA', 'xG', 'xGBuildup', 'xGChain', 'yellow_cards']",
understat,Serie A,Serie A,2020,2020-2021,OK,594,43,"['assists', 'games', 'goals', 'id', 'key_passes', 'npg', 'npxG', 'player_name', 'position', 'red_cards', 'shots', 'team_title', 'time', 'xA', 'xG', 'xGBuildup', 'xGChain', 'yellow_cards']",
understat,Serie A,Serie A,2021,2021-2022,OK,608,43,"['assists', 'games', 'goals', 'id', 'key_passes', 'npg', 'npxG', 'player_name', 'position', 'red_cards', 'shots', 'team_title', 'time', 'xA', 'xG', 'xGBuildup', 'xGChain', 'yellow_cards']",
understat,Serie A,Serie A,2022,2022-2023,OK,577,41,"['assists', 'games', 'goals', 'id', 'key_passes', 'npg', 'npxG', 'player_name', 'position', 'red_cards', 'shots', 'team_title', 'time', 'xA', 'xG', 'xGBuildup', 'xGChain', 'yellow_cards']",
understat,Serie A,Serie A,2023,2023-2024,OK,590,45,"['assists', 'games', 'goals', 'id', 'key_passes', 'npg', 'npxG', 'player_name', 'position', 'red_cards', 'shots', 'team_title', 'time', 'xA', 'xG', 'xGBuildup', 'xGChain', 'yellow_cards']",
understat,Serie A,Serie A,2024,2024-2025,OK,599,51,"['assists', 'games', 'goals', 'id', 'key_passes', 'npg', 'npxG', 'player_name', 'position', 'red_cards', 'shots', 'team_title', 'time', 'xA', 'xG', 'xGBuildup', 'xGChain', 'yellow_cards']",
understat,Serie A,Serie A,2025,2025-2026,OK,586,40,"['assists', 'games', 'goals', 'id', 'key_passes', 'npg', 'npxG', 'player_name', 'position', 'red_cards', 'shots', 'team_title', 'time', 'xA', 'xG', 'xGBuildup', 'xGChain', 'yellow_cards']",
understat,Serie A,Serie A,2026,2026-2027,EMPTY,0,0,[],
understat,Ligue 1,Ligue 1,2014,2014-2015,OK,536,28,"['assists', 'games', 'goals', 'id', 'key_passes', 'npg', 'npxG', 'player_name', 'position', 'red_cards', 'shots', 'team_title', 'time', 'xA', 'xG', 'xGBuildup', 'xGChain', 'yellow_cards']",
understat,Ligue 1,Ligue 1,2015,2015-2016,OK,575,33,"['assists', 'games', 'goals', 'id', 'key_passes', 'npg', 'npxG', 'player_name', 'position', 'red_cards', 'shots', 'team_title', 'time', 'xA', 'xG', 'xGBuildup', 'xGChain', 'yellow_cards']",
understat,Ligue 1,Ligue 1,2016,2016-2017,OK,559,34,"['assists', 'games', 'goals', 'id', 'key_passes', 'npg', 'npxG', 'player_name', 'position', 'red_cards', 'shots', 'team_title', 'time', 'xA', 'xG', 'xGBuildup', 'xGChain', 'yellow_cards']",
understat,Ligue 1,Ligue 1,2017,2017-2018,OK,540,33,"['assists', 'games', 'goals', 'id', 'key_passes', 'npg', 'npxG', 'player_name', 'position', 'red_cards', 'shots', 'team_title', 'time', 'xA', 'xG', 'xGBuildup', 'xGChain', 'yellow_cards']",
understat,Ligue 1,Ligue 1,2018,2018-2019,OK,548,33,"['assists', 'games', 'goals', 'id', 'key_passes', 'npg', 'npxG', 'player_name', 'position', 'red_cards', 'shots', 'team_title', 'time', 'xA', 'xG', 'xGBuildup', 'xGChain', 'yellow_cards']",
understat,Ligue 1,Ligue 1,2019,2019-2020,OK,531,31,"['assists', 'games', 'goals', 'id', 'key_passes', 'npg', 'npxG', 'player_name', 'position', 'red_cards', 'shots', 'team_title', 'time', 'xA', 'xG', 'xGBuildup', 'xGChain', 'yellow_cards']",
understat,Ligue 1,Ligue 1,2020,2020-2021,OK,575,29,"['assists', 'games', 'goals', 'id', 'key_passes', 'npg', 'npxG', 'player_name', 'position', 'red_cards', 'shots', 'team_title', 'time', 'xA', 'xG', 'xGBuildup', 'xGChain', 'yellow_cards']",
understat,Ligue 1,Ligue 1,2021,2021-2022,OK,589,33,"['assists', 'games', 'goals', 'id', 'key_passes', 'npg', 'npxG', 'player_name', 'position', 'red_cards', 'shots', 'team_title', 'time', 'xA', 'xG', 'xGBuildup', 'xGChain', 'yellow_cards']",
understat,Ligue 1,Ligue 1,2022,2022-2023,OK,585,40,"['assists', 'games', 'goals', 'id', 'key_passes', 'npg', 'npxG', 'player_name', 'position', 'red_cards', 'shots', 'team_title', 'time', 'xA', 'xG', 'xGBuildup', 'xGChain', 'yellow_cards']",
understat,Ligue 1,Ligue 1,2023,2023-2024,OK,525,32,"['assists', 'games', 'goals', 'id', 'key_passes', 'npg', 'npxG', 'player_name', 'position', 'red_cards', 'shots', 'team_title', 'time', 'xA', 'xG', 'xGBuildup', 'xGChain', 'yellow_cards']",
understat,Ligue 1,Ligue 1,2024,2024-2025,OK,542,27,"['assists', 'games', 'goals', 'id', 'key_passes', 'npg', 'npxG', 'player_name', 'position', 'red_cards', 'shots', 'team_title', 'time', 'xA', 'xG', 'xGBuildup', 'xGChain', 'yellow_cards']",
understat,Ligue 1,Ligue 1,2025,2025-2026,OK,553,27,"['assists', 'games', 'goals', 'id', 'key_passes', 'npg', 'npxG', 'player_name', 'position', 'red_cards', 'shots', 'team_title', 'time', 'xA', 'xG', 'xGBuildup', 'xGChain', 'yellow_cards']",
understat,Ligue 1,Ligue 1,2026,2026-2027,EMPTY,0,0,[],
