function,line,end_line,n_lines,decorators,has_cache_data,has_cache_resource,has_any_cache
_tm69_watchlist_status_html,12762,12797,36,,False,False,False
render_multi_player_summary_cards,14858,14893,36,,False,False,False
render_metric_winners_table,14896,14931,36,,False,False,False
_render_methodology_governance_header,31953,31988,36,,False,False,False
_render_global_dss_architecture,32362,32397,36,,False,False,False
_fill,19253,19288,36,,False,False,False
_tm69_opportunity_context_html,12801,12835,35,,False,False,False
build_replacement_candidates,16755,16789,35,,False,False,False
build_player_radar_chart,14078,14111,34,,False,False,False
build_similarity_recommendation_drivers,16097,16130,34,,False,False,False
_role_dna_plain_explanation,9357,9389,33,,False,False,False
_tm69_acquisition_readiness_html,12727,12759,33,,False,False,False
format_comparison_value,14676,14708,33,,False,False,False
build_multi_player_percentile_matrix,14823,14855,33,,False,False,False
_tm69_row_nationality,29819,29851,33,,False,False,False
_tm696_player_image_uri,33919,33951,33,,False,False,False
build_current_context,10671,10702,32,,False,False,False
make_shap_proxy,18120,18151,32,,False,False,False
render_findings_cards,27251,27282,32,,False,False,False
_contract_status_display,29911,29942,32,,False,False,False
_render_methodology_scoring_architecture,32328,32359,32,,False,False,False
apply_current_club_overrides,10437,10467,31,,False,False,False
_tm69_position_markers,11820,11850,31,,False,False,False
_siq_player_portrait_html,13171,13201,31,,False,False,False
build_comparison_html_table,14711,14740,30,,False,False,False
render_opportunity_risk_top5,18912,18941,30,,False,False,False
_page_command_copy,23500,23529,30,,False,False,False
_render_contract_league_distribution,31007,31036,30,,False,False,False
tm70_identity_context,341,369,29,,False,False,False
render_scouting_cards,14114,14142,29,,False,False,False
render_similarity_benchmark_profile,15919,15947,29,,False,False,False
build_automated_recruitment_assessment,15950,15978,29,,False,False,False
_render_contract_window_distribution,30976,31004,29,,False,False,False
render_strategy_center_page,32637,32665,29,,False,False,False
_tm69_score_label,11470,11497,28,,False,False,False
_tm697_player_image_uri,17886,17913,28,,False,False,False
_tm697_player_image_uri,29586,29613,28,,False,False,False
_tm697_player_image_uri,33990,34017,28,,False,False,False
_merge_fill,8516,8543,28,,False,False,False
_tm69_is_defensive_profile,11925,11951,27,,False,False,False
build_similarity_narrative,16270,16296,27,,False,False,False
add_light_replacement_fit,17028,17054,27,,False,False,False
tm72_latest_player_dss_metrics,25644,25670,27,,False,False,False
render_player_intelligence_page,34272,34298,27,,False,False,False
audit_current_season_consistency,10731,10756,26,,False,False,False
_tm69_decision_drivers,12249,12274,26,,False,False,False
_tm69_next_actions,12277,12302,26,,False,False,False
_tm69_market_ranking_html,12553,12578,26,,False,False,False
render_dss_workflow,20127,20152,26,,False,False,False
_tm69_top_opportunity_html,24368,24393,26,,False,False,False
_tm69_recruitment_recommendation_html,33276,33301,26,,False,False,False
find_role_explainability_path,8362,8386,25,,False,False,False
render_strategy_metric_card,11284,11308,25,,False,False,False
_tm69_comparable_market_cards,12361,12385,25,,False,False,False
render_decision_funnel_cards,15400,15424,25,,False,False,False
build_candidate_executive_summary,15427,15451,25,,False,False,False
render_replacement_executive_cards,16298,16322,25,,False,False,False
build_executive_replacement_table,16818,16842,25,,False,False,False
_tm69_player_image_html,27484,27508,25,,False,False,False
render_paginated_recruitment_ranking,28514,28538,25,,False,False,False
_latest_player_data_season,28673,28697,25,,False,False,False
apply_current_context,10705,10728,24,,False,False,False
format_age_metadata,10987,11010,24,,False,False,False
_tm69_position_marker_keys,11794,11817,24,,False,False,False
_tm69_career_trajectory_html,12624,12647,24,,False,False,False
_tm69_recruitment_recommendation_html,12650,12673,24,,False,False,False
_tm69_country_flag,29370,29393,24,,False,False,False
render_recruitment_board_page,29856,29879,24,,False,False,False
render_tm69_market_contract_tab,34152,34175,24,,False,False,False
_driver_rows,28823,28846,24,,False,False,False
build_executive_similarity_table,16793,16815,23,,False,False,False
render_slider_range_hint,21046,21068,23,,False,False,False
_player_row,30919,30941,23,,False,False,False
_tm69_position_share_rows,12225,12246,22,,False,False,False
metric_display_name,20801,20822,22,,False,False,False
_tm69_command_chip_html,24336,24357,22,,False,False,False
_tm69_player_avatar_html,33869,33890,22,,False,False,False
_tm69_player_avatar_html,34127,34148,22,,False,False,False
translate_tier,10028,10048,21,,False,False,False
build_role_signal_items,9068,9087,20,,False,False,False
_tm69_position_code,11755,11774,20,,False,False,False
_tm69_market_gap,12203,12222,20,,False,False,False
_tm69_nationality_html,29767,29786,20,,False,False,False
_contract_window_order,30716,30735,20,,False,False,False
tm7_display_series,174,192,19,,False,False,False
format_money_short,10061,10079,19,,False,False,False
_tm69_localize_country,11677,11695,19,,False,False,False
localize_display_df,21015,21033,19,,False,False,False
_first_valid_command_value,21818,21836,19,,False,False,False
_tm69_pipeline_html,24396,24414,19,,False,False,False
_tm69_league_chip_html,29686,29704,19,,False,False,False
_role_market_family,17702,17720,19,,False,False,False
role_family,8967,8984,18,,False,False,False
render_metric_card_with_caption,11261,11278,18,,False,False,False
_tm69_localize_contract_status,11698,11715,18,,False,False,False
get_age_projection_factor,14534,14551,18,,False,False,False
add_comparison_percentiles,14656,14673,18,,False,False,False
render_comparative_conclusion,15024,15041,18,,False,False,False
add_similarity_deltas,15534,15551,18,,False,False,False
render_sidebar_filter_value,21071,21088,18,,False,False,False
render_sidebar_filter_range,21091,21108,18,,False,False,False
render_info_kpi_card,27286,27303,18,,False,False,False
_chip_with_optional_league_logo,24338,24355,18,,False,False,False
role_dna_dimension_groups,9327,9343,17,,False,False,False
_tm697_player_image_uri,17831,17847,17,,False,False,False
_tm612_demo_case_display,24486,24502,17,,False,False,False
render_product_page_header,27206,27222,17,,False,False,False
_visual_mvp_player_name,27348,27364,17,,False,False,False
_tm69_decision_status_badge,33166,33182,17,,False,False,False
_window,29967,29983,17,,False,False,False
_status,29985,30001,17,,False,False,False
_tm69_player_portrait_uri,91,106,16,,False,False,False
canonical_current_dss_league,10601,10616,16,,False,False,False
_tm69_performance_bars_html,12853,12868,16,,False,False,False
classify_candidate_recommendation,15290,15305,16,,False,False,False
classify_executive_action,16951,16966,16,,False,False,False
get_executive_decision_table,17169,17184,16,,False,False,False
find_position_taxonomy_path,19110,19125,16,,False,False,False
_tm69_intent_label,23549,23564,16,,False,False,False
_render_methodology_architecture_flow,32004,32019,16,,False,False,False
_tm696_asset_data_uri,33896,33911,16,,False,False,False
_tm696_asset_data_uri,34102,34117,16,,False,False,False
pick,15354,15369,16,,False,False,False
add,21907,21922,16,,False,False,False
_action,30003,30018,16,,False,False,False
clean_role_display,133,147,15,,False,False,False
_tm69_position_set,11777,11791,15,,False,False,False
_tm69_target_priority_score,11878,11892,15,,False,False,False
_contract_age_value,30640,30654,15,,False,False,False
render_market_intelligence_page,32620,32634,15,,False,False,False
_tm69_career_trajectory_html,33396,33410,15,,False,False,False
normalize_role_season,8662,8675,14,,False,False,False
apply_club_name_normalization,10361,10374,14,,False,False,False
safe_get,11013,11026,14,,False,False,False
_tm69_role_quality_label,11718,11731,14,,False,False,False
_tm69_target_priority_grade,11895,11908,14,,False,False,False
_tm69_tactical_fit_score,12435,12448,14,,False,False,False
_tm69_pitch_overlay_html,12837,12850,14,,False,False,False
get_available_radar_metrics,13990,14003,14,,False,False,False
classify_league_quality,14449,14462,14,,False,False,False
render_automated_recruitment_assessment,15981,15994,14,,False,False,False
assign_decision_quadrant,18382,18395,14,,False,False,False
_command_entity_type,22000,22013,14,,False,False,False
_contract_set_player_context,30614,30627,14,,False,False,False
_tm69_strength_weakness_html,33823,33836,14,,False,False,False
classify_player_level_from_score,8228,8240,13,,False,False,False
_normalize_lookup_key,10414,10426,13,,False,False,False
_tm69_age_from_birth,11740,11752,13,,False,False,False
_tm69_scale_role_metric,11910,11922,13,,False,False,False
build_recommendation,13580,13592,13,,False,False,False
classify_replacement_fit,15308,15320,13,,False,False,False
opportunity_tier_badge,18000,18012,13,,False,False,False
render_action_badge,22255,22267,13,,False,False,False
_tm69_context_metrics_html,24417,24429,13,,False,False,False
_status_from_score,31929,31941,13,,False,False,False
_tm69_why_him_html,33261,33273,13,,False,False,False
tm7_value,195,206,12,,False,False,False
tm70_format_market_value,265,276,12,,False,False,False
load_transfer_strategy_optimizer,8205,8216,12,,False,False,False
taxonomy_long_label,8952,8963,12,,False,False,False
format_score,10123,10134,12,,False,False,False
render_metric_card,11247,11258,12,,False,False,False
percentile_label,14015,14026,12,,False,False,False
classify_future_asset_tier,14554,14565,12,,False,False,False
classify_decision_stage,16937,16948,12,,False,False,False
_command_set_player_context,22112,22123,12,,False,False,False
_lane_df,30899,30910,12,,False,False,False
find_project_root,150,160,11,,False,False,False
parse_role_similar,9301,9311,11,,False,False,False
league_display_name,10515,10525,11,,False,False,False
translate_label,10648,10658,11,,False,False,False
get_first_valid_numeric,10974,10984,11,,False,False,False
_snapshot_numeric,11312,11322,11,,False,False,False
_tm69_signal_card,11864,11874,11,,False,False,False
_tm69_role_interpretation,12087,12097,11,,False,False,False
_tm69_expected_market_value,12190,12200,11,,False,False,False
_tm69_score_to_label,12451,12461,11,,False,False,False
get_league_strength,14436,14446,11,,False,False,False
recommendation_badge,15323,15333,11,,False,False,False
risk_tier_badge,18015,18025,11,,False,False,False
_format_command_pct,22017,22027,11,,False,False,False
_format_command_pct,23568,23578,11,,False,False,False
_render_contract_kpi,30030,30040,11,,False,False,False
_contract_action_class,30181,30191,11,,False,False,False
_render_methodology_kpi_card,31991,32001,11,,False,False,False
_render_methodology_governance_note,32022,32032,11,,False,False,False
tm70_identity_value,252,261,10,,False,False,False
player_level_display_name,8243,8252,10,,False,False,False
role_family_label,8987,8996,10,,False,False,False
role_purity_label,9052,9061,10,,False,False,False
format_signed_money_short,10088,10097,10,,False,False,False
format_money_tm,10099,10108,10,,False,False,False
format_money_readable,10111,10120,10,,False,False,False
_tm69_is_valid,11428,11437,10,,False,False,False
_tm69_numeric,11448,11457,10,,False,False,False
_tm69_signal_title,11852,11861,10,,False,False,False
_tm69_dna_bars,12075,12084,10,,False,False,False
classify_adaptation_risk,14467,14476,10,,False,False,False
render_sprint11_context_box,15337,15346,10,,False,False,False
similarity_recommendation_label,15686,15695,10,,False,False,False
classify_executive_priority_v2,16969,16978,10,,False,False,False
_compact_player_label,18399,18408,10,,False,False,False
role_context_label,19310,19319,10,,False,False,False
_tm69_detect_search_intent,23537,23546,10,,False,False,False
_format_contract_date,29899,29908,10,,False,False,False
_safe_json_load,31677,31686,10,,False,False,False
best_player,14863,14872,10,,False,False,False
leader,14942,14951,10,,False,False,False
_num_from_row,28580,28589,10,,False,False,False
_tm69_player_portrait_html,108,116,9,,False,False,False
normalize_join_text,8620,8628,9,,False,False,False
get_role_dataset_status,8725,8733,9,,False,False,False
role_ambiguity_label,8941,8949,9,,False,False,False
enforce_current_dss_league_scope,10619,10627,9,,False,False,False
calculate_gap_relative,13565,13573,9,,False,False,False
add_role_display_columns,19447,19455,9,,False,False,False
_nav_label,20096,20104,9,,False,False,False
_fmt_sidebar_number,21035,21043,9,,False,False,False
_tm612_demo_case_label_for_player,24475,24483,9,,False,False,False
get_metric_leader,27240,27248,9,,False,False,False
_season_sort_key,28663,28671,9,,False,False,False
tm70_get_player_view,242,249,8,,False,False,False
tm71_build_presentation_row,283,290,8,,False,False,False
has_valid_role_metrics,8652,8659,8,,False,False,False
tier_badge,10051,10058,8,,False,False,False
_tm69_format_score,11460,11467,8,,False,False,False
_tm69_localize_foot,11667,11674,8,,False,False,False
calculate_percentile,14005,14012,8,,False,False,False
format_radar_metric_value,14029,14036,8,,False,False,False
similarity_status_class,15698,15705,8,,False,False,False
get_taxonomy_dataset_status,19300,19307,8,,False,False,False
build_ranked_table_df,27230,27237,8,,False,False,False
_tm69_click_info,29145,29152,8,,False,False,False
_contract_nav_to,30630,30637,8,,False,False,False
_contract_count_card,30745,30752,8,,False,False,False
lab,12331,12338,8,,False,False,False
assign_zone,18455,18462,8,,False,False,False
render_context_state,52,58,7,,False,False,False
_tm69_slug_player_name,75,81,7,,False,False,False
strip_accents_for_display,8637,8643,7,,False,False,False
role_metric_display,9284,9290,7,,False,False,False
role_dna_priority_columns,9318,9324,7,,False,False,False
render_internal_nav,10759,10765,7,,False,False,False
_snapshot_score,11325,11331,7,,False,False,False
_snapshot_tag,11373,11379,7,,False,False,False
_tm69_format_date,11658,11664,7,,False,False,False
_tm69_feasibility_style,12345,12351,7,,False,False,False
get_numeric_value,15277,15283,7,,False,False,False
get_similarity_feature_columns,16484,16490,7,,False,False,False
_tm697_slug_player,17860,17866,7,,False,False,False
_tm69_quick_actions_html,24432,24438,7,,False,False,False
_visual_mvp_initials,27339,27345,7,,False,False,False
_contract_bool_filter,29890,29896,7,,False,False,False
_fmt_pct,31700,31706,7,,False,False,False
_fmt_score,31709,31715,7,,False,False,False
load_json_report,31881,31887,7,,False,False,False
_fmt_int_compact,31911,31917,7,,False,False,False
_fmt_pct_1,31920,31926,7,,False,False,False
_fmt_days,31944,31950,7,,False,False,False
_tm696_player_slug,33861,33867,7,,False,False,False
_tm696_player_slug,34119,34125,7,,False,False,False
_minmax,9873,9879,7,,False,False,False
tm70_analytics_value,372,377,6,,False,False,False
render_role_badge,9293,9298,6,,False,False,False
_first_existing_column_any,10429,10434,6,,False,False,False
get_current_club_display,10470,10475,6,,False,False,False
count_current_dss_leagues,10630,10635,6,,False,False,False
_tm69_first,11440,11445,6,,False,False,False
_siq_slug_player_name,13163,13168,6,,False,False,False
get_all_radar_metric_columns,13672,13677,6,,False,False,False
get_player_name_column,14648,14653,6,,False,False,False
render_selected_player_context,15044,15049,6,,False,False,False
decision_stars_badge,18028,18033,6,,False,False,False
TXT,20785,20790,6,,False,False,False
_tm69_player_slug,27460,27465,6,,False,False,False
_tm697_slug_player,29579,29584,6,,False,False,False
_tm69_player_avatar_html,33815,33820,6,,False,False,False
_tm697_slug_player,33983,33988,6,,False,False,False
_tm69_player_avatar_html,34019,34024,6,,False,False,False
_tm697_player_nationality_fallback,34033,34038,6,,False,False,False
rank_txt,12558,12563,6,,False,False,False
_asset_key,29513,29518,6,,False,False,False
tm71_age_text,334,338,5,,False,False,False
is_valid_role_value,8645,8649,5,,False,False,False
has_role_intelligence,9277,9281,5,,False,False,False
role_dna_score,9346,9350,5,,False,False,False
_tm69_norm,11513,11517,5,,False,False,False
_tm69_market_accessibility_copy,12354,12358,5,,False,False,False
normalize_position_group,13665,13669,5,,False,False,False
_tm697_player_photo_html,17849,17853,5,,False,False,False
_tm697_player_photo_html,17915,17919,5,,False,False,False
_tm69_add_to_watchlist,23719,23723,5,,False,False,False
clear_global_scouting_search,23856,23860,5,,False,False,False
_tm69_initials,24284,24288,5,,False,False,False
_tm69_safe_float,24361,24365,5,,False,False,False
_tm697_player_photo_html,29615,29619,5,,False,False,False
_tm69_player_avatar_html,29622,29626,5,,False,False,False
_first_existing_column,29883,29887,5,,False,False,False
_contract_metric,30738,30742,5,,False,False,False
_tm696_compact_player_key,33913,33917,5,,False,False,False
_tm696_contract_player_photo_html,33953,33957,5,,False,False,False
first_existing,21924,21928,5,,False,False,False
render_filter_summary,60,63,4,,False,False,False
get_player_display_from_row,10478,10481,4,,False,False,False
T,11098,11101,4,,False,False,False
_tm69_escape_rich_text,11734,11737,4,,False,False,False
V,20779,20782,4,,False,False,False
driver_display_name,21009,21012,4,,False,False,False
_tm69_slug,29396,29399,4,,False,False,False
_status_badge_html,31694,31697,4,,False,False,False
_compact_label,15794,15797,4,,False,False,False
_rank,8612,8615,4,,False,False,False
render_search,48,50,3,,False,False,False
normalize_search_text,8633,8635,3,,False,False,False
format_eur,10082,10084,3,,False,False,False
normalize_club_columns,10661,10663,3,,False,False,False
resolve_display_club,10666,10668,3,,False,False,False
sort_label,11115,11117,3,,False,False,False
_tm69_initials,11648,11650,3,,False,False,False
_tm69_club_initials,11653,11655,3,,False,False,False
_tm69_info_tip,12185,12187,3,,False,False,False
enrich_scouting_context_features,14643,14645,3,,False,False,False
league_display_name,20456,20458,3,,False,False,False
render_layer_badge,27225,27227,3,,False,False,False
_contract_reference_date,29945,29947,3,,False,False,False
_contract_score_display,30094,30096,3,,False,False,False
load_snapshot_health_report,31689,31691,3,,False,False,False
_fit_row,16681,16683,3,,False,False,False
role_family_css,8999,9000,2,,False,False,False
role_hybridization_label,9064,9065,2,,False,False,False
role_dna_label,9314,9315,2,,False,False,False
has_role_dna,9353,9354,2,,False,False,False
section_gap,10768,10769,2,,False,False,False
card_gap,10772,10773,2,,False,False,False
micro_gap,10776,10777,2,,False,False,False
get_player_name,13576,13577,2,,False,False,False
get_display_name,15286,15287,2,,False,False,False
T,20387,20388,2,,False,False,False
sort_label,20400,20401,2,,False,False,False
action_display_name,20793,20794,2,,False,False,False
risk_level_display_name,20797,20798,2,,False,False,False
league_quality_display_name,21001,21002,2,,False,False,False
tier_display_name,21005,21006,2,,False,False,False
preset_label,25720,25721,2,,False,False,False
_visual_mvp_row_country,27444,27445,2,,False,False,False
_tm69_context_kpi,29256,29257,2,,False,False,False
_tm69_club_chip_html,29682,29683,2,,False,False,False
_tm69_visual_identity_block,29854,29855,2,,False,False,False
_add,8807,8808,2,,False,False,False
_fit_row,16200,16201,2,,False,False,False
clean_key,21901,21902,2,,False,False,False
valid,21904,21905,2,,False,False,False
build_search_options,21886,21997,112,st.cache_data(show_spinner=False),True,False,True
load_role_explainability_dataset,8390,8469,80,st.cache_data(show_spinner=False),True,False,True
enrich_shortlist_with_radar_features,13700,13772,73,st.cache_data(show_spinner=False),True,False,True
load_position_taxonomy_dataset,19129,19186,58,st.cache_data(show_spinner=False),True,False,True
load_role_intelligence_dataset,8679,8722,44,st.cache_data(show_spinner=False),True,False,True
_tm69_v13b_identity_performance_lookup,11561,11602,42,st.cache_data(show_spinner=False),True,False,True
load_visual_mvp_manifest,27368,27401,34,st.cache_data(show_spinner=False),True,False,True
_tm69_player_nationality_lookup,29790,29817,28,st.cache_data(show_spinner=False),True,False,True
load_football_lookup_dataset,13775,13796,22,st.cache_data(show_spinner=False),True,False,True
_visual_mvp_current_market_value_lookup,27406,27427,22,st.cache_data(show_spinner=False),True,False,True
_siq_asset_to_data_uri_safe,13142,13160,19,st.cache_data(show_spinner=False),True,False,True
_tm69_flag_uri,29747,29764,18,st.cache_data(show_spinner=False),True,False,True
load_current_performance_snapshot_governance,31891,31908,18,st.cache_data(show_spinner=False),True,False,True
_tm697_safe_asset_data_uri,33965,33981,17,st.cache_data(show_spinner=False),True,False,True
load_radar_feature_dataset,13681,13696,16,st.cache_data(show_spinner=False),True,False,True
_tm697_asset_data_uri,17869,17884,16,st.cache_data(show_spinner=False),True,False,True
_tm696_asset_data_uri,33844,33859,16,st.cache_data(show_spinner=False),True,False,True
load_tm70_identity_lookup,225,239,15,st.cache_data(show_spinner=False),True,False,True
_tm69_asset_to_data_uri,27469,27481,13,st.cache_data(show_spinner=False),True,False,True
_visual_mvp_current_country_lookup,27431,27441,11,st.cache_data(show_spinner=False),True,False,True
_tm69_load_context_tables,11501,11510,10,st.cache_data(show_spinner=False),True,False,True
tm71_load_full_modeling_analytics,25510,25518,9,st.cache_data(show_spinner=False),True,False,True
tm72_load_dss_authority,25633,25641,9,st.cache_data(show_spinner=False),True,False,True
_tm69_player_image_manifest,27449,27457,9,st.cache_data(show_spinner=False),True,False,True
_tm69_identity_asset_lookup,29157,29163,7,st.cache_data(show_spinner=False),True,False,True
_tm69_asset_to_data_uri,84,89,6,st.cache_data(show_spinner=False),True,False,True
load_csv,8192,8195,4,st.cache_data(show_spinner=False),True,False,True
load_parquet,8199,8202,4,st.cache_data(show_spinner=False),True,False,True
get_tm7_player_registry,169,171,3,st.cache_resource(show_spinner=False),False,True,True
