player_name_fbref,season,league,club,position_group,age,minutes_played,market_value_eur,predicted_market_value_eur,market_value_gap_eur,inefficiency_score,matching_confidence
Vincent Thill,2020-2021,Liga Portugal,Nacional,ATT,21.3,921,1000000.0,1856289.8757399588,856289.8757399588,0.6185798052182534,1.0
Ousmane Camara,2022-2023,Ligue 1,Angers,DEF,20.3,521,1500000.0,2782641.626788655,1282641.6267886548,0.6179355938795013,1.0
Robert Gumny,2020-2021,Bundesliga,Augsburg,DEF,23.0,1377,3000000.0,5556687.64228341,2556687.64228341,0.6163898942754003,1.0
Romano Schmid,2020-2021,Bundesliga,Werder Bremen,MID,21.4,1177,4000000.0,7384283.172948801,3384283.172948801,0.6130594848779474,1.0
Logan Costa,2022-2023,Ligue 1,Toulouse,DEF,22.2,415,1200000.0,2203222.1320274915,1003222.1320274915,0.607599337548848,1.0
Ilaix Moriba,2022-2023,LaLiga,Valencia,MID,20.4,1011,4000000.0,7334228.8777010925,3334228.8777010925,0.6062579158008266,1.0
Nuno Santos,2020-2021,Liga Portugal,Boavista,MID,22.2,1743,1500000.0,2747869.7174470653,1247869.7174470653,0.6053608551742897,1.0
Moussa Sylla,2021-2022,Eredivisie,Utrecht,ATT,22.5,1374,1500000.0,2744795.6047479855,1244795.6047479855,0.6042415031512807,1.0
Nathan Collins,2021-2022,Premier League,Burnley,DEF,21.1,1670,10000000.0,18285344.48462785,8285344.48462785,0.6035147981688453,1.0
Thibo Baeten,2023-2024,Eredivisie,Go Ahead Eagles,ATT,22.0,908,600000.0,1096142.79214063,496142.7921406301,0.6026230886053323,1.0
Luca Netz,2022-2023,Bundesliga,Gladbach,DEF,20.1,702,6500000.0,11809791.757940887,5309791.757940887,0.5971268204630498,1.0
Lorenzo Pirola,2023-2024,Serie A,Salernitana,DEF,22.3,1987,5500000.0,9989604.009410078,4489604.009410078,0.5967968609387135,1.0
Luca Netz,2021-2022,Bundesliga,Gladbach,DEF,19.1,1396,6500000.0,11803487.100924661,5303487.100924661,0.5965928279409844,1.0
Issa Kaboré,2023-2024,Premier League,Luton Town,DEF,23.0,1729,10000000.0,18141149.83345687,8141149.83345687,0.5955977363134721,1.0
Tommaso Pobega,2020-2021,Serie A,Spezia,MID,21.9,1229,6000000.0,10861129.417836722,4861129.417836722,0.5934308378295032,1.0
Matchoi Djaló,2022-2023,Liga Portugal,Paços de Ferreira,MID,20.2,1301,1500000.0,2710956.6484537846,1210956.6484537846,0.5918364713007147,1.0
Ryan Flamingo,2022-2023,Eredivisie,Vitesse,DEF,20.5,2683,2500000.0,4508274.103058429,2008274.1030584294,0.5896236661502083,1.0
Enzo Le Fée,2020-2021,Ligue 1,Lorient,MID,21.3,1816,5000000.0,8986732.755726779,3986732.755726779,0.586311439038754,1.0
Terem Moffi,2021-2022,Ligue 1,Lorient,ATT,23.0,2711,9000000.0,16175054.604571696,7175054.604571696,0.5862456389072861,1.0
Thierry Correia,2020-2021,LaLiga,Valencia,DEF,22.3,2137,6000000.0,10761697.206413414,4761697.206413414,0.5842338060051002,1.0
Panos Katseris,2023-2024,Ligue 1,Lorient,MID,22.9,1041,2500000.0,4473360.828629464,1973360.828629464,0.5818492574718288,1.0
Jorge Cuenca,2021-2022,LaLiga,Getafe,DEF,22.5,2683,8000000.0,14293120.971141946,6293120.971141946,0.5803368288747937,1.0
Miguel Gutiérrez,2022-2023,LaLiga,Girona,DEF,21.9,2390,10000000.0,17829397.929530405,7829397.9295304045,0.5782635710383239,1.0
Loïs Openda,2020-2021,Eredivisie,Vitesse,ATT,21.3,2411,3000000.0,5343434.144150999,2343434.1441509994,0.5772562557606058,1.0
Jesus Vazquez,2023-2024,LaLiga,Valencia,DEF,21.4,716,3000000.0,5328851.376496325,2328851.3764963252,0.5745234246904012,1.0
Sydney van Hooijdonk,2021-2022,Eredivisie,Heerenveen,ATT,22.3,998,1300000.0,2307429.5480708308,1007429.5480708308,0.5737698907476609,1.0
Njegoš Petrović,2021-2022,LaLiga,Granada,MID,22.9,918,2500000.0,4433586.848590914,1933586.8485909142,0.5729181969431938,1.0
Lucas Perrin,2020-2021,Ligue 1,Marseille,DEF,22.5,308,1800000.0,3178740.3880991293,1378740.3880991293,0.5686983490485655,1.0
Tim Drexler,2023-2024,Bundesliga,Hoffenheim,DEF,19.2,573,2500000.0,4411242.568665012,1911242.5686650118,0.5678656794992971,1.0
Bilal Brahimi,2021-2022,Ligue 1,Nice,ATT,22.2,378,900000.0,1586889.2637346208,686889.2637346208,0.5671361776627233,1.0
Tanguy Coulibaly,2021-2022,Bundesliga,Stuttgart,ATT,21.3,1079,2500000.0,4400977.331508141,1900977.331508141,0.5655359051821929,1.0
Kévin Denkey,2020-2021,Ligue 1,Nîmes,ATT,20.5,524,2200000.0,3872150.397520887,1672150.3975208872,0.5653526506306559,1.0
Syb Van Ottele,2022-2023,Eredivisie,Heerenveen,DEF,21.4,1180,750000.0,1315888.6961527164,565888.6961527164,0.5621943243864838,1.0
Gianluca Frabotta,2020-2021,Serie A,Juventus,DEF,21.9,689,2500000.0,4383240.202016118,1883240.202016118,0.5614974911674562,1.0
Mats Köhlert,2020-2021,Eredivisie,Willem II,DEF,23.0,1449,800000.0,1401365.154954475,601365.1549544749,0.5605904235056016,1.0
Rafa Marín,2023-2024,LaLiga,Alavés,DEF,22.1,2443,7500000.0,13093913.477349626,5593913.477349626,0.5572444816458546,1.0
Kristoffer Askildsen,2022-2023,Serie A,Lecce,MID,22.4,728,2000000.0,3486893.667863585,1486893.667863585,0.5558640927952592,1.0
Miguel Baeza,2020-2021,LaLiga,Celta Vigo,MID,21.2,543,2500000.0,4351627.443230925,1851627.4432309251,0.554259168139847,1.0
Ibrahima Koné,2021-2022,Ligue 1,Lorient,ATT,23.0,732,4500000.0,7824443.147780872,3324443.147780872,0.5531751738948287,1.0
Julián Malatini,2023-2024,Bundesliga,Werder Bremen,DEF,23.0,602,2500000.0,4346580.582600805,1846580.582600805,0.5530987311437485,1.0
Rafik Guitane,2021-2022,Liga Portugal,Marítimo,ATT,23.0,1907,2000000.0,3476025.790695608,1476025.7906956081,0.5527424464634336,1.0
Diego Coppola,2023-2024,Serie A,Hellas Verona,DEF,20.4,1634,6000000.0,10385423.036332386,4385423.036332386,0.5486437225936509,1.0
Gavin Bazunu,2022-2023,Premier League,Southampton,GK,21.3,2880,15000000.0,25932774.565770768,10932774.565770768,0.5474573948748613,1.0
Joe Scally,2023-2024,Bundesliga,Gladbach,DEF,21.4,2236,10000000.0,17286659.561208393,7286659.561208393,0.547349987411355,1.0
Facundo Cáseres,2023-2024,Liga Portugal,Farense,MID,23.0,1112,1000000.0,1713983.5451416536,713983.5451416536,0.5388202198620924,1.0
Maxime Estève,2023-2024,Premier League,Burnley,DEF,22.0,1309,7000000.0,11983681.62877945,4983681.62877945,0.5376357110098038,1.0
Max Finkgräfe,2023-2024,Bundesliga,Köln,DEF,20.2,1756,6000000.0,10156016.379534824,4156016.379534824,0.5263068074069732,1.0
Aaron Connolly,2020-2021,Premier League,Brighton,ATT,21.4,791,7000000.0,11829357.030050864,4829357.030050864,0.5246741766591807,1.0
Dimitry Bertaud,2020-2021,Ligue 1,Montpellier,GK,23.0,745,1000000.0,1688902.305853335,688902.305853335,0.5240787947397205,1.0
Elye Wahi,2020-2021,Ligue 1,Montpellier,ATT,18.4,555,5000000.0,8441082.02916168,3441082.0291616805,0.5236725904638337,1.0
Arnaud Nordin,2020-2021,Ligue 1,Saint-Étienne,ATT,23.0,1771,5000000.0,8423507.650280248,3423507.6502802484,0.5215884146164402,1.0
Reece Oxford,2020-2021,Bundesliga,Augsburg,DEF,22.5,1358,3000000.0,5049545.866518226,2049545.8665182265,0.5206860231533117,1.0
Hianga'a Mbock,2021-2022,Ligue 1,Brest,MID,22.4,799,1500000.0,2524644.7325427495,1024644.7325427495,0.5206352447369174,1.0
Brayann Pereira,2023-2024,Eredivisie,NEC Nijmegen,DEF,21.0,788,700000.0,1172199.4114979606,472199.41149796057,0.5155567669496257,1.0
Anouar El Azzouzi,2023-2024,Eredivisie,Zwolle,MID,23.0,1313,650000.0,1085901.4246026585,435901.4246026585,0.5131933642419337,1.0
Enzo Le Fée,2021-2022,Ligue 1,Lorient,MID,22.3,2194,6000000.0,10011357.927244972,4011357.9272449724,0.5119607719659154,1.0
Nehuén Pérez,2022-2023,Serie A,Udinese,DEF,23.0,2818,10000000.0,16677726.676256554,6677726.676256554,0.511489004255882,1.0
Jean Onana,2021-2022,Ligue 1,Bordeaux,MID,22.4,1832,5000000.0,8325984.771117488,3325984.771117488,0.5099434072615221,1.0
Patrick,2020-2021,Liga Portugal,Famalicão,MID,21.8,1488,1300000.0,2158065.6292343945,858065.6292343945,0.5068480139701457,1.0
David Datro Fofana,2023-2024,Premier League,Burnley,ATT,21.4,879,12000000.0,19832299.619934287,7832299.619934287,0.5024052527338654,1.0
Roger Fernandes,2023-2024,Liga Portugal,Braga,ATT,18.5,672,10000000.0,16499868.193093296,6499868.193093296,0.500767299583206,1.0
Luca Netz,2023-2024,Bundesliga,Gladbach,DEF,21.0,2225,10000000.0,16458197.827283766,6458197.827283766,0.4982386082462753,1.0
Oliver Batista-Meier,2020-2021,Eredivisie,Heerenveen,ATT,20.3,689,650000.0,1068150.8583107435,418150.85831074347,0.496711899755125,1.0
Wilfried Singo,2020-2021,Serie A,Torino,DEF,20.4,1854,7000000.0,11446354.048673429,4446354.048673429,0.49176110654070193,1.0
Jacob Ramsey,2021-2022,Premier League,Aston Villa,MID,21.0,2467,25000000.0,40746942.63829552,15746942.638295516,0.4885049847228906,1.0
Luke Thomas,2021-2022,Premier League,Leicester City,DEF,21.0,1912,12000000.0,19505038.023578826,7505038.023578826,0.4857661425959847,1.0
Ansgar Knauff,2023-2024,Bundesliga,Eintracht Frankfurt,ATT,22.4,2109,10000000.0,16216497.913024468,6216497.913024468,0.4834440207301718,1.0
Joe Scally,2021-2022,Bundesliga,Gladbach,DEF,19.4,1909,8000000.0,12969590.14713342,4969590.147133419,0.4831658560824099,1.0
Sepp van den Berg,2023-2024,Bundesliga,Mainz 05,DEF,22.4,2839,12000000.0,19442873.33420709,7442873.3342070915,0.4825739435797374,1.0
Danilo,2020-2021,Eredivisie,Twente,MID,20.1,2644,8000000.0,12947990.964704223,4947990.964704223,0.48149909656991063,1.0
Leonardo Buta,2023-2024,Liga Portugal,Gil Vicente FC,DEF,22.0,2187,3000000.0,4840559.547278706,1840559.547278706,0.47841803432011254,1.0
Ernest Poku,2023-2024,Eredivisie,AZ Alkmaar,ATT,20.3,663,1300000.0,2097170.4343453264,797170.4343453264,0.4782247594692919,1.0
Cameron Archer,2023-2024,Premier League,Sheffield United,ATT,22.5,1832,13000000.0,20970993.025562502,7970993.025562502,0.478190840912049,1.0
Million Manhoef,2022-2023,Eredivisie,Vitesse,ATT,21.5,2322,3500000.0,5643636.3184533715,2143636.3184533715,0.47776562657521815,1.0
Yacine Adli,2020-2021,Ligue 1,Bordeaux,MID,20.8,2418,9000000.0,14501516.553409636,5501516.553409636,0.4770286565114894,1.0
Julio Enciso,2022-2023,Premier League,Brighton,MID,19.4,806,22000000.0,35371714.83839721,13371714.838397212,0.4748700315336123,1.0
Mayckel Lahdo,2022-2023,Eredivisie,AZ Alkmaar,ATT,20.5,561,1000000.0,1605809.6459606648,605809.6459606648,0.4736280817006264,1.0
Sadik Fofana,2023-2024,Eredivisie,Fortuna Sittard,MID,21.0,633,500000.0,801909.4786503317,301909.47865033173,0.4723876335607784,1.0
Saidou Sow,2020-2021,Ligue 1,Saint-Étienne,DEF,18.9,1000,2500000.0,3984047.355520182,1484047.3555201818,0.4660074942033017,1.0
Enzo Tchato,2023-2024,Ligue 1,Montpellier,DEF,21.5,1125,2500000.0,3980717.08843993,1480717.0884399302,0.4651712441678466,1.0
Max Aarons,2021-2022,Premier League,Norwich City,DEF,22.4,2881,22000000.0,35005092.613379404,13005092.613379404,0.46445110078594,1.0
Tommy St. Jago,2020-2021,Eredivisie,Utrecht,DEF,21.4,2056,1200000.0,1906773.549798973,706773.5497989729,0.4630910159453485,1.0
Diego Coppola,2022-2023,Serie A,Hellas Verona,DEF,19.5,1177,4000000.0,6353305.28248383,2353305.28248383,0.46268083328935283,1.0
Ricardinho,2021-2022,Liga Portugal,Marítimo,ATT,20.7,463,900000.0,1425832.2251414803,525832.2251414803,0.46011617654964887,1.0
Teun Bijleveld,2020-2021,Eredivisie,Heracles Almelo,MID,23.0,1068,600000.0,950415.213997715,350415.21399771504,0.45996930125833657,1.0
Illan Meslier,2021-2022,Premier League,Leeds United,GK,22.3,3384,20000000.0,31562655.85042304,11562655.850423042,0.4562423713045831,1.0
Joan Gonzàlez,2023-2024,Serie A,Lecce,MID,22.3,1291,4500000.0,7099478.303249956,2599478.303249956,0.4559439061558255,1.0
Michael Olise,2022-2023,Premier League,Crystal Palace,ATT,21.5,2749,38000000.0,59935624.17875978,21935624.178759784,0.45568489613989627,1.0
Saidou Sow,2021-2022,Ligue 1,Saint-Étienne,DEF,19.9,989,4000000.0,6304458.140793349,2304458.1407933487,0.45496266341324976,1.0
Filippo Terracciano,2023-2024,Serie A,Hellas Verona,DEF,21.3,1296,4500000.0,7089733.807052669,2589733.807052669,0.45457039821846124,1.0
Show,2020-2021,Liga Portugal,Boavista,MID,22.2,1487,1500000.0,2352593.502129365,852593.5021293652,0.45005322943671544,1.0
Samuele Vignato,2023-2024,Serie A,Monza,MID,20.3,343,3500000.0,5470628.241507943,1970628.2415079428,0.4466304935387502,1.0
Márton Dárdai,2022-2023,Bundesliga,Hertha BSC,DEF,21.4,947,3500000.0,5469898.054231608,1969898.0542316083,0.4464970105128554,1.0
Lincoln,2020-2021,Liga Portugal,Santa Clara,ATT,20.5,2181,3100000.0,4844413.727025981,1744413.727025981,0.4464241207560491,1.0
Diego López,2023-2024,LaLiga,Valencia,ATT,22.1,2656,14000000.0,21876942.16300963,7876942.163009629,0.4463758832820268,1.0
Yassine Kechta,2023-2024,Ligue 1,Le Havre,MID,22.3,1849,5000000.0,7802371.119744068,2802371.119744068,0.4449897647767127,1.0
Felix Passlack,2020-2021,Bundesliga,Dortmund,DEF,23.0,362,2500000.0,3898382.027256038,1398382.027256038,0.44427087037508883,1.0
Alaa Bellaarouch,2023-2024,Ligue 1,Strasbourg,GK,22.3,1350,2000000.0,3107923.9452646985,1107923.9452646985,0.44080778101049134,1.0
Jacob Ramsey,2022-2023,Premier League,Aston Villa,MID,22.1,2636,42000000.0,65224987.96829927,23224987.96829927,0.44017302827484883,1.0
Rhys Williams,2020-2021,Premier League,Liverpool,DEF,20.3,661,5000000.0,7736272.048707112,2736272.0487071117,0.43648201168428,1.0
Jesse Bosch,2021-2022,Eredivisie,Twente,MID,22.3,877,600000.0,928286.652819503,328286.652819503,0.4364109229968598,1.0
Mimeirhel Benita,2023-2024,Eredivisie,Excelsior,DEF,20.5,947,850000.0,1313909.3532479163,463909.3532479163,0.4355258618289337,1.0
Sekou Mara,2022-2023,Premier League,Southampton,ATT,20.9,555,10000000.0,15413909.91798975,5413909.917989749,0.43268525017637316,1.0
Matìas Soulé,2023-2024,Serie A,Frosinone,ATT,21.1,3121,25000000.0,38332679.715548106,13332679.715548106,0.42742696378282474,1.0
Tiago Tomás,2022-2023,Bundesliga,Stuttgart,ATT,21.0,1291,7000000.0,10723309.921240242,3723309.921240242,0.42650972024010336,1.0
Conor Bradley,2023-2024,Premier League,Liverpool,DEF,20.9,753,15000000.0,22952419.302219726,7952419.302219726,0.42537314606716947,1.0
Yacine Adli,2021-2022,Ligue 1,Bordeaux,MID,21.8,2260,9000000.0,13756706.925420731,4756706.925420731,0.42430190424636294,1.0
Jonathan Burkardt,2021-2022,Bundesliga,Mainz 05,ATT,21.9,2611,17000000.0,25960196.930797257,8960196.930797257,0.42335113368299915,1.0
Flavius Daniliuc,2022-2023,Serie A,Salernitana,DEF,22.1,2195,8000000.0,12176739.514216987,4176739.5142169874,0.420085992994073,1.0
Dejan Kulusevski,2021-2022,Premier League,Tottenham Hotspur,MID,22.1,1261,40000000.0,60777802.23266023,20777802.232660227,0.4183451733372685,1.0
Romain Faivre,2020-2021,Ligue 1,Brest,MID,22.9,2891,13000000.0,19667360.676569466,6667360.676569466,0.41401108579256984,1.0
Oumar Diakité,2023-2024,Ligue 1,Reims,ATT,20.5,1585,6000000.0,9075579.272327455,3075579.2723274548,0.41382774054713245,1.0
Nicolò Rovella,2020-2021,Serie A,Genoa,MID,19.5,1187,5000000.0,7558616.109247925,2558616.1092479248,0.4132502066685664,1.0
Bradley Locko,2022-2023,Ligue 1,Reims,DEF,21.1,1059,2500000.0,3777764.2978091734,1277764.2978091734,0.41284164717243677,1.0
Destiny Udogie,2021-2022,Serie A,Udinese,DEF,19.5,2477,17000000.0,25671593.961348087,8671593.961348087,0.41217174322504846,1.0
Tanguy Coulibaly,2020-2021,Bundesliga,Stuttgart,ATT,20.3,1506,5000000.0,7542697.268151301,2542697.268151301,0.4111419334879294,1.0
Alessandro Buongiorno,2020-2021,Serie A,Torino,DEF,22.0,858,2500000.0,3766396.3423344395,1266396.3423344395,0.4098279350787877,1.0
Léo Leroy,2021-2022,Ligue 1,Montpellier,MID,22.3,626,1500000.0,2258157.4174314723,758157.4174314723,0.4090840706151049,1.0
Josh Doig,2022-2023,Serie A,Hellas Verona,DEF,21.1,1354,8000000.0,12038227.082952952,4038227.082952952,0.40864563511173024,1.0
Kaio Jorge,2023-2024,Serie A,Frosinone,ATT,22.4,812,4000000.0,6003336.418278695,2003336.418278695,0.40602102327180845,1.0
Marc Guéhi,2021-2022,Premier League,Crystal Palace,DEF,21.9,3222,32000000.0,48024456.17335646,16024456.173356459,0.4059744819668616,1.0
Mehdi Zerkane,2020-2021,Ligue 1,Bordeaux,ATT,21.9,1187,2500000.0,3749052.764271072,1249052.764271072,0.4052124800059911,1.0
Billy Gilmour,2021-2022,Premier League,Norwich City,MID,21.0,1855,12000000.0,17986138.17918058,5986138.179180581,0.40469471027130766,1.0
Paulo Victor,2023-2024,Liga Portugal,Chaves,DEF,23.0,822,1500000.0,2246150.45496079,746150.45496079,0.40375273392566413,1.0
Maxime Estève,2021-2022,Ligue 1,Montpellier,DEF,20.0,1857,4500000.0,6728089.265089028,2228089.2650890276,0.40221379350686703,1.0
Lorenzo Colombo,2023-2024,Serie A,Monza,ATT,22.2,1359,6000000.0,8949591.685219629,2949591.6852196287,0.3998484402548339,1.0
Saidou Sow,2023-2024,Ligue 1,Strasbourg,DEF,21.9,719,2500000.0,3727783.0030845674,1227783.0030845674,0.39952295592797604,1.0
Jørgen Strand Larsen,2020-2021,Eredivisie,Groningen,ATT,21.3,2301,3500000.0,5213503.82051551,1713503.8205155097,0.39848917956390295,1.0
John Yeboah,2020-2021,Eredivisie,Willem II,ATT,20.3,312,575000.0,856417.9795023464,281417.97950234637,0.39838850997891484,1.0
Bobby Adekanye,2020-2021,Eredivisie,ADO Den Haag,ATT,22.3,741,600000.0,893387.1134905274,293387.1134905274,0.39809032947709966,1.0
Afonso Sousa,2020-2021,Liga Portugal,B-SAD,MID,21.0,1918,2500000.0,3719943.1059163394,1219943.1059163394,0.39741764218543274,1.0
Jacob Ramsey,2020-2021,Premier League,Aston Villa,MID,20.0,626,5000000.0,7407401.26963277,2407401.2696327697,0.39304175950968734,1.0
Abdul Mumin,2020-2021,Liga Portugal,Vitória Guimarães,DEF,23.0,2025,2000000.0,2959438.735607427,959438.7356074271,0.39185245344772923,1.0
Youssef Chermiti,2022-2023,Liga Portugal,Sporting CP,ATT,19.1,844,3000000.0,4424249.809701042,1424249.8097010422,0.38848844088834156,1.0
Adam Hložek,2023-2024,Bundesliga,Leverkusen,ATT,21.8,459,12000000.0,17692994.500303723,5692994.500303723,0.38826212050258135,1.0
Oliver Braude,2023-2024,Eredivisie,Heerenveen,DEF,20.3,2116,2000000.0,2946549.9079844165,946549.9079844165,0.38748778264925754,1.0
Manfred Ugalde,2022-2023,Eredivisie,Twente,ATT,21.1,873,3000000.0,4419177.0597990565,1419177.0597990565,0.38734120452098786,1.0
Yannik Keitel,2020-2021,Bundesliga,Freiburg,MID,21.3,498,2000000.0,2943264.5192693006,943264.5192693006,0.38637216547780184,1.0
Arnaud Kalimuendo,2020-2021,Ligue 1,Lens,ATT,19.4,1218,10000000.0,14672721.038941544,4672721.038941544,0.3834049651880562,1.0
Andrew,2023-2024,Liga Portugal,Gil Vicente FC,GK,22.9,2880,3000000.0,4399736.8277218975,1399736.8277218975,0.3829324385859163,1.0
Pietro Pellegri,2022-2023,Serie A,Torino,ATT,22.2,465,3500000.0,5115939.663498311,1615939.6634983113,0.3795981214648787,1.0
Marcos Leonardo,2023-2024,Liga Portugal,Benfica,ATT,21.1,331,25000000.0,36495330.43788865,11495330.437888652,0.37830849432756253,1.0
Ebrima Darboe,2020-2021,Serie A,Roma,MID,20.1,323,2000000.0,2917290.304895845,917290.3048958448,0.37750802710691467,1.0
Wilfried Singo,2021-2022,Serie A,Torino,DEF,21.4,2607,15000000.0,21859453.08059169,6859453.08059169,0.3765832621470899,1.0
Aimen Moueffek,2021-2022,Ligue 1,Saint-Étienne,MID,21.1,432,1500000.0,2183764.6515713655,683764.6515713655,0.3755851836984174,1.0
Neraysho Kasanwirjo,2021-2022,Eredivisie,Groningen,DEF,20.3,2729,2500000.0,3632498.5505566876,1132498.5505566876,0.3736299855671952,1.0
Jan Thielmann,2021-2022,Bundesliga,Köln,ATT,20.0,1192,7500000.0,10879364.986567426,3379364.9865674265,0.3719648539770173,1.0
Morgan Rogers,2023-2024,Premier League,Aston Villa,MID,21.8,638,15000000.0,21733297.97402078,6733297.974020779,0.37079535219872994,1.0
Lorenz Assignon,2021-2022,Ligue 1,Rennes,DEF,21.9,616,3000000.0,4342034.794605151,1342034.7946051508,0.36973079625315286,1.0
Kaiky,2022-2023,LaLiga,Almería,DEF,19.4,581,3000000.0,4340507.68180747,1340507.6818074696,0.3693790299778765,1.0
Junior Dina Ebimbe,2020-2021,Ligue 1,Dijon,MID,20.5,2144,6000000.0,8673130.498675361,2673130.4986753613,0.3684703289049782,1.0
Michael Olise,2023-2024,Premier League,Crystal Palace,ATT,22.5,1275,55000000.0,79411958.98674497,24411958.98674497,0.36731578864054626,1.0
Djevencio van der Kust,2021-2022,Eredivisie,Utrecht,DEF,21.1,963,650000.0,937075.0617059701,287075.0617059701,0.36579102468448,1.0
Nikolas Nartey,2021-2022,Bundesliga,Stuttgart,MID,22.3,404,1800000.0,2592025.3244355344,792025.3244355344,0.3646528837699403,1.0
Mika Mármol,2023-2024,LaLiga,Las Palmas,DEF,22.9,3178,15000000.0,21562569.522745557,6562569.522745557,0.36290871792744284,1.0
Aimen Moueffek,2020-2021,Ligue 1,Saint-Étienne,MID,20.2,743,2000000.0,2858205.705647314,858205.705647314,0.3570468717415718,1.0
Illan Meslier,2020-2021,Premier League,Leeds United,GK,21.3,3150,20000000.0,28548245.18596762,8548245.18596762,0.3558631960694285,1.0
Armand Lauriente,2020-2021,Ligue 1,Lorient,ATT,22.5,1622,6000000.0,8563138.124932472,2563138.1249324717,0.3557072571229565,1.0
Xander Blomme,2023-2024,Eredivisie,Go Ahead Eagles,MID,21.9,711,550000.0,784707.0825848731,234707.08258487307,0.3553922267166598,1.0
Jon Aramburu,2023-2024,LaLiga,Real Sociedad,DEF,21.9,543,2500000.0,3565801.7521693576,1065801.7521693576,0.3550981921260945,1.0
Aaron Hickey,2021-2022,Serie A,Bologna,DEF,20.0,2820,18000000.0,25669706.874727964,7669706.874727964,0.35493981793952756,1.0
Ayman Kari,2023-2024,Ligue 1,Lorient,MID,19.5,893,4000000.0,5684037.030540871,1684037.0305408714,0.3513673639672241,1.0
Otso Liimatta,2023-2024,Liga Portugal,Famalicão,MID,19.9,464,1000000.0,1419715.57637452,419715.5763745201,0.350456553222978,1.0
Filip Stankovic,2022-2023,Eredivisie,Volendam,GK,21.3,2970,2000000.0,2836678.6284923833,836678.6284923833,0.3494866902081668,1.0
Evann Guessand,2022-2023,Ligue 1,Nantes,ATT,22.0,1260,4500000.0,6375975.875248953,1875975.8752489528,0.3484597610233262,1.0
Abdukodir Khusanov,2023-2024,Ligue 1,Lens,DEF,20.3,809,2500000.0,3537284.8696166105,1037284.8696166105,0.3470687150032852,1.0
Alan Virginius,2023-2024,Ligue 1,Clermont Foot,MID,21.4,934,3500000.0,4939467.716664057,1439467.7166640572,0.3444946072359052,1.0
Brennan Johnson,2022-2023,Premier League,Nottingham Forest,ATT,22.1,2934,38000000.0,53492715.45278549,15492715.452785492,0.341959325143975,1.0
Bart van Rooij,2023-2024,Eredivisie,NEC Nijmegen,DEF,23.0,1975,2000000.0,2807452.728013697,807452.7280136971,0.33913038917762783,1.0
Anthony Gordon,2021-2022,Premier League,Everton,ATT,21.3,2285,20000000.0,28052091.649204277,8052091.6492042765,0.3383309242336985,1.0
Emile Smith Rowe,2020-2021,Premier League,Arsenal,MID,20.9,1440,18000000.0,25229228.53176954,7229228.53176954,0.3376314268723206,1.0
Dirk Proper,2021-2022,Eredivisie,NEC Nijmegen,MID,20.3,1358,900000.0,1260941.7268952858,360941.72689528577,0.3372193597530515,1.0
Becir Omeragic,2023-2024,Ligue 1,Montpellier,DEF,22.4,2312,6000000.0,8405092.116147518,2405092.116147518,0.33707825725688245,1.0
Luke Thomas,2023-2024,Premier League,Sheffield United,DEF,23.0,917,6000000.0,8393931.498866761,2393931.498866761,0.3357495349241404,1.0
Noah Atubolu,2023-2024,Bundesliga,Freiburg,GK,22.0,3060,10000000.0,13969730.075584568,3969730.075584568,0.33430775836908566,1.0
Lazar Samardzic,2022-2023,Serie A,Udinese,MID,21.3,1848,14000000.0,19512254.1522227,5512254.1522227,0.33198535664519824,1.0
Abdallah Sima,2022-2023,Ligue 1,Angers,ATT,22.0,1836,6000000.0,8361434.703034854,2361434.7030348536,0.331870558339908,1.0
Lesley Ugochukwu,2021-2022,Ligue 1,Rennes,MID,18.2,405,3000000.0,4179624.2099308115,1179624.2099308115,0.33160905189670586,1.0
Yannick Leliendal,2023-2024,Eredivisie,Utrecht,DEF,22.1,496,500000.0,694923.8020617486,194923.80206174857,0.3291941038107655,1.0
Ben Johnson,2021-2022,Premier League,West Ham United,DEF,22.4,1397,9000000.0,12486506.728916695,3486506.7289166953,0.32742402224699063,1.0
Juan Miranda,2020-2021,LaLiga,Real Betis,DEF,21.4,1652,7000000.0,9701577.568507772,2701577.568507772,0.3263783591588716,1.0
Roberto Piccoli,2022-2023,Serie A,Empoli,ATT,22.4,516,3500000.0,4844949.074657702,1344949.074657702,0.3251737658855589,1.0
Lorenzo Pirola,2022-2023,Serie A,Salernitana,DEF,21.3,1941,8000000.0,11068043.414966067,3068043.4149660673,0.32462044280365454,1.0
Aimar Oroz,2022-2023,LaLiga,Osasuna,MID,21.5,2013,15000000.0,20706023.66124173,5706023.661241729,0.32237445496499006,1.0
Matteo Ruggeri,2022-2023,Serie A,Atalanta,DEF,20.9,829,4000000.0,5508189.17101378,1508189.17101378,0.31994156393049344,1.0
Nick Woltemade,2023-2024,Bundesliga,Werder Bremen,ATT,22.3,1189,4000000.0,5503321.017646732,1503321.0176467318,0.3190573702820654,1.0
Rick Meissen,2023-2024,Eredivisie,Sparta Rotterdam,DEF,22.3,883,650000.0,893670.3061171351,243670.3061171351,0.31836455916200634,1.0
Ronald,2023-2024,Liga Portugal,Estrela,ATT,22.9,1319,1800000.0,2468916.4679896818,668916.4679896818,0.3159927125636415,1.0
Facundo Buonanotte,2023-2024,Premier League,Brighton,MID,19.4,1364,18000000.0,24659658.08610034,6659658.08610034,0.3147968746222709,1.0
